[12:01:02]	Darth Hexus entered observer.
[12:01:27]	Darth Hexus exited observer at their location.
[12:01:32]	Darth Hexus has spawned 'models/props/starwars/tech/hoth_shield.mdl'.
[12:01:33]	Darth Hexus entered observer.
[12:01:38]	Darth Hexus has spawned 'models/props/starwars/vehicles/sbd_dispenser.mdl'.
[12:02:34]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/coruscant/cor_sign_market_05.mdl'.
[12:02:35]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/coruscant/cor_sign_blacksun_06.mdl'.
[12:02:43]	Darth Hexus exited observer at their location.
[12:02:56]	Darth Hexus entered observer.
[12:03:02]	Darth Hexus exited observer at their location.
[12:03:13]	Darth Hexus has spawned 'models/starwars/syphadias/ships/sw_tor/bioware_ea/vehicles/longspur/longspur.mdl'.
[12:03:15]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/voss/voss_ancient_tomb_statue.mdl'.
[12:03:17]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/vendor/vendor_weapon_stall_wo_flag.mdl'.
[12:03:17]	Darth Hexus entered observer.
[12:03:20]	Darth Hexus exited observer at their location.
[12:03:21]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/vendor/vendor_general_stall_w_flag.mdl'.
[12:03:23]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/sith/sith_banner_stand.mdl'.
[12:03:28]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/sith/sith_banner_huge.mdl'.
[12:03:29]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/sith/sith_banner_large.mdl'.
[12:03:33]	Darth Hexus entered observer.
[12:03:37]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/city/city_seating_in_out_02.mdl'.
[12:03:41]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/city/city_wall_tech_02_mirror.mdl'.
[12:03:43]	Darth Hexus exited observer at their location.
[12:03:44]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/nar_shadda/nar_building_vent.mdl'.
[12:03:45]	Darth Hexus entered observer.
[12:03:49]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/sith/sith_tomb_statue_01.mdl'.
[12:03:54]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/sith/sith_interior_statue.mdl'.
[12:04:01]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/vendor/vendor_general_stall_wo_flag.mdl'.
[12:04:04]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/vendor/vendor_general_stall_w_flag.mdl'.
[12:04:09]	Darth Hexus exited observer at their location.
[12:04:28]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/planets/coruscant/cor_skyscene.mdl'.
[12:04:30]	Darth Hexus entered observer.
[12:04:31]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/planets/coruscant/cor_skyscene.mdl'.
[12:04:42]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/planets/coruscant/cor_skyscene.mdl'.
[12:05:25]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/city/city_rug.mdl'.
[12:05:28]	Darth Hexus exited observer at their location.
[12:05:28]	Darth Hexus entered observer.
[12:05:29]	Darth Hexus exited observer at their location.
[12:05:29]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/city/city_rug.mdl'.
[12:05:31]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/city/city_poster_06.mdl'.
[12:05:33]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/city/city_poster_03.mdl'.
[12:05:34]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/city/city_wall_tech_02_mirror.mdl'.
[12:05:42]	Darth Hexus entered observer.
[12:05:43]	Darth Hexus exited observer at their location.
[12:05:49]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/coruscant/cor_works_light_02.mdl'.
[12:05:54]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/nar_shadda/nar_starforge_fragment_base.mdl'.
[12:05:55]	Darth Hexus entered observer.
[12:05:56]	Darth Hexus exited observer at their location.
[12:06:05]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/republic/rep_training_bay.mdl'.
[12:06:06]	Darth Hexus entered observer.
[12:06:10]	Darth Hexus exited observer at their location.
[12:06:11]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/sith/sith_brazier_quad_chain.mdl'.
[12:06:18]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/vendor/vendor_weapon_stall_flag.mdl'.
[12:06:20]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/vendor/vendor_guild_bank.mdl'.
[12:06:27]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/vendor/vendor_general_stall_flag.mdl'.
[12:06:31]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/vendor/vendor_weapon_stall_flag.mdl'.
[12:06:36]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/vendor/vendor_weapon_stall_w_flag.mdl'.
[12:06:45]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/planets/nar_shadda/nar_skyscene.mdl'.
[12:06:47]	Darth Hexus entered observer.
[12:06:53]	Darth Hexus exited observer at their location.
[12:06:54]	Darth Hexus has taken 19 damage from worldspawn.
[12:06:56]	Darth Hexus entered observer.
[12:06:59]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/city/city_seating_in_out_01.mdl'.
[12:07:02]	Darth Hexus exited observer at their location.
[12:07:48]	Darth Hexus has spawned 'models\props/cs_office/Ladder1.mdl'.
[12:24:52]	Darth Hexus entered observer.
[12:25:01]	Darth Hexus exited observer at their location.
[12:25:02]	Darth Hexus entered observer.
[12:25:04]	Darth Hexus exited observer at their location.
[12:25:05]	Darth Hexus entered observer.
[12:25:13]	Darth Hexus exited observer at their location.
[12:26:06]	Darth Hexus has spawned 'models/npc_hcn/starwars/bf/dressellian/dressellian.mdl'.
[12:26:08]	Darth Hexus entered observer.
[12:28:19]	Darth Hexus exited observer at their location.
[12:28:54]	Darth Hexus entered observer.
[12:28:55]	Darth Hexus exited observer at their location.
[12:29:19]	Darth Hexus has spawned 'models/props_c17/FurnitureBed001a.mdl'.
[12:29:23]	Darth Hexus has spawned 'models/props_c17/FurnitureMattress001a.mdl'.
[12:30:44]	Darth Hexus has spawned 'models/props_c17/FurnitureBed001a.mdl'.
[12:30:45]	Darth Hexus has spawned 'models/props_c17/FurnitureMattress001a.mdl'.
[12:32:22]	Darth Hexus has spawned 'models/props/starwars/furniture/flag.mdl'.
[12:32:23]	Darth Hexus has spawned 'models/props/starwars/medical/bacta_dispenser.mdl'.
[12:32:26]	Darth Hexus has spawned 'models/props/starwars/weapons/hoth_turret.mdl'.
[12:32:27]	Darth Hexus has spawned 'models/props/starwars/weapons/wookie_rocket.mdl'.
[12:32:43]	Darth Hexus has spawned 'models/props/starwars/weapons/seismic_charge.mdl'.
[12:32:45]	Darth Hexus has spawned 'models/props/starwars/tech/yavin_watchtower.mdl'.
[12:32:47]	Darth Hexus entered observer.
[12:32:49]	Darth Hexus has spawned 'models/props/starwars/tech/tat_prop_evaporator.mdl'.
[12:32:52]	Darth Hexus exited observer at their location.
[12:32:52]	Darth Hexus entered observer.
[12:32:53]	Darth Hexus exited observer at their location.
[12:33:02]	Darth Hexus entered observer.
[12:33:06]	Darth Hexus exited observer at their location.
[12:33:39]	Darth Hexus has spawned 'models/props/starwars/weapons/ap_mine.mdl'.
[12:33:45]	Darth Hexus has spawned 'models/props/starwars/tech/machine.mdl'.
[12:33:50]	Darth Hexus entered observer.
[12:33:52]	Darth Hexus exited observer at their location.
[12:33:56]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/items/harvesting/misc/tablet_small.mdl'.
[12:34:01]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/nar_shadda/nar_building_vent.mdl'.
[12:34:04]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/imperial/imp_guardhouse.mdl'.
[12:34:05]	Darth Hexus entered observer.
[12:34:07]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/imperial/imp_guardhouse.mdl'.
[12:34:14]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/nar_shadda/nar_signage_01_13.mdl'.
[12:34:19]	Darth Hexus exited observer at their location.
[12:34:21]	Darth Hexus entered observer.
[12:34:22]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/imperial/imp_table.mdl'.
[12:34:28]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/ruins/ruins_giant_statue.mdl'.
[12:34:30]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/neutral/neu_chem_tank.mdl'.
[12:34:31]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/republic/rep_tent_medium.mdl'.
[12:34:33]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/neutral/neu_city_panel.mdl'.
[12:34:43]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/neutral/neu_bantha_shelter_trough.mdl'.
[12:34:46]	Darth Hexus exited observer at their location.
[12:34:48]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/republic/rep_atv_closed.mdl'.
[12:34:49]	Darth Hexus entered observer.
[12:35:01]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/neutral/neu_bantha_shelter_trough.mdl'.
[12:35:25]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/nar_shadda/buildings/nar_building_05_skybox.mdl'.
[12:35:29]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/nar_shadda/nar_starforge_fragment.mdl'.
[12:36:14]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/nar_shadda/nar_starforge_fragment_base.mdl'.
[12:36:17]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/nar_shadda/nar_starforge_fragment.mdl'.
[12:36:24]	Darth Hexus exited observer at their location.
[12:36:36]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/nar_shadda/nar_signage_red_martini.mdl'.
[12:36:40]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/nar_shadda/nar_signage_red_martini.mdl'.
[12:36:41]	Darth Hexus entered observer.
[12:36:44]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/neutral/neu_city_panel.mdl'.
[12:36:45]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/neutral/neu_chem_tank.mdl'.
[12:36:48]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/props/neutral/neu_bunker_denova.mdl'.
[12:37:03]	Darth Hexus exited observer at their location.
[12:37:04]	Darth Hexus entered observer.
[12:37:04]	Darth Hexus exited observer at their location.
[12:37:09]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/items/harvesting/slicing/slicing_footlocker_screen.mdl'.
[12:37:15]	Darth Hexus entered observer.
[12:37:16]	Darth Hexus has spawned 'models/hunter/blocks/cube1x2x025.mdl'.
[12:37:39]	Darth Hexus has spawned 'models/hunter/blocks/cube1x2x025.mdl'.
[12:38:15]	Darth Hexus exited observer at their location.
[12:39:21]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/items/harvesting/slicing/slicing_footlocker_screen.mdl'.
[12:39:21]	Darth Hexus has spawned 'models/hunter/blocks/cube1x2x025.mdl'.
[12:39:21]	Darth Hexus has spawned 'models/hunter/blocks/cube1x2x025.mdl'.
[12:39:22]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/items/harvesting/slicing/slicing_footlocker_screen.mdl'.
[12:39:22]	Darth Hexus has spawned 'models/hunter/blocks/cube1x2x025.mdl'.
[12:39:22]	Darth Hexus has spawned 'models/hunter/blocks/cube1x2x025.mdl'.
[12:39:23]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/items/harvesting/slicing/slicing_footlocker_screen.mdl'.
[12:39:23]	Darth Hexus has spawned 'models/hunter/blocks/cube1x2x025.mdl'.
[12:39:23]	Darth Hexus has spawned 'models/hunter/blocks/cube1x2x025.mdl'.
[12:39:27]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/items/harvesting/slicing/slicing_footlocker_screen.mdl'.
[12:39:27]	Darth Hexus has spawned 'models/hunter/blocks/cube1x2x025.mdl'.
[12:39:27]	Darth Hexus has spawned 'models/hunter/blocks/cube1x2x025.mdl'.
[12:39:31]	Darth Hexus entered observer.
[12:39:32]	Darth Hexus exited observer at their location.
[12:39:47]	Darth Hexus has spawned 'models/hunter/blocks/cube1x2x025.mdl'.
[12:39:47]	Darth Hexus has spawned 'models/hunter/blocks/cube1x2x025.mdl'.
[12:39:47]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/items/harvesting/slicing/slicing_footlocker_screen.mdl'.
[12:39:48]	Darth Hexus has spawned 'models/hunter/blocks/cube1x2x025.mdl'.
[12:39:48]	Darth Hexus has spawned 'models/hunter/blocks/cube1x2x025.mdl'.
[12:39:48]	Darth Hexus has spawned 'models/starwars/syphadias/props/sw_tor/bioware_ea/items/harvesting/slicing/slicing_footlocker_screen.mdl'.
[12:40:09]	Darth Hexus has spawned 'models/props_c17/FurnitureTable001a.mdl'.
[12:40:14]	Darth Hexus has spawned 'models/props_c17/FurnitureChair001a.mdl'.
[12:40:25]	Darth Hexus has spawned 'models/props_c17/FurnitureBoiler001a.mdl'.
[12:40:26]	Darth Hexus has spawned 'models/props_c17/FurnitureCouch001a.mdl'.
[12:40:27]	Darth Hexus has spawned 'models/props_c17/FurnitureChair001a.mdl'.
[12:40:33]	Darth Hexus entered observer.
[12:40:35]	Darth Hexus exited observer at their location.
[12:41:00]	Darth Hexus has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[12:41:09]	Darth Hexus has spawned 'models/props_wasteland/kitchen_stove002a.mdl'.
[12:41:10]	Darth Hexus has spawned 'models/props_wasteland/kitchen_stove001a.mdl'.
[12:41:16]	Darth Hexus has spawned 'models/props_wasteland/kitchen_stove002a.mdl'.
[12:41:23]	Darth Hexus has spawned 'models/props_wasteland/cafeteria_table001a.mdl'.
[12:41:24]	Darth Hexus has spawned 'models/props_wasteland/controlroom_desk001a.mdl'.
[12:41:28]	Darth Hexus has spawned 'models/props_wasteland/cafeteria_table001a.mdl'.
[12:41:40]	Darth Hexus entered observer.
[12:41:41]	Darth Hexus has spawned 'models/hunter/blocks/cube1x6x025.mdl'.
[12:41:46]	Darth Hexus has spawned 'models/hunter/blocks/cube2x8x025.mdl'.
[12:41:49]	Darth Hexus has spawned 'models/hunter/blocks/cube1x6x025.mdl'.
[12:41:50]	Darth Hexus has spawned 'models/hunter/blocks/cube1x5x025.mdl'.
[12:41:53]	Darth Hexus has spawned 'models/hunter/blocks/cube1x4x025.mdl'.
