[22:52:09]	Trainee RG-3506 has taken 25 damage from Trainee RG-3506.
[22:52:09]	Trainee RG-3506 has taken 25 damage from Trainee RG-3506.
[22:52:09]	Trainee RG-3506 has killed Trainee RG-3506.
[22:52:35]	Trainee RG-3506 has taken 25 damage from Trainee RG-3506.
[22:52:40]	Petty Officer Third Class Karissa Novar has spawned 'models/kingpommes/starwars/playermodels/astromech.mdl'.
[22:52:54]	Trainee RG-3506 entered observer.
[22:53:01]	Trainee RG-3506 exited observer at their location.
[22:53:02]	Petty Officer Third Class Karissa Novar has spawned 'models/kingpommes/starwars/playermodels/astromech.mdl'.
[22:53:05]	Petty Officer Third Class Karissa Novar has spawned 'models/kingpommes/starwars/playermodels/astromech.mdl'.
[22:53:07]	Trainee RG-3506 used command '/ToggleRaise'.
[22:53:07]	Petty Officer Third Class Karissa Novar has spawned 'models/kingpommes/starwars/playermodels/astromech.mdl'.
[22:53:15]	Petty Officer Third Class Karissa Novar has taken 255 damage from Trainee RG-3506.
[22:53:15]	Trainee RG-3506 has killed Petty Officer Third Class Karissa Novar with rw_sw_lightsaber_starkiller.
[22:53:16]	Trainee RG-3506 used command '/ToggleRaise'.
[22:53:20]	Petty Officer Third Class Karissa Novar has taken 1 damage from Trainee RG-3506.
[22:53:21]	Petty Officer Third Class Karissa Novar has taken 1 damage from Trainee RG-3506.
[22:53:40]	Petty Officer Third Class Karissa Novar used command '/ch fuck'.
[22:53:43]	Petty Officer Third Class Karissa Novar has spawned a 'Vehicle [965][prop_vehicle_airboat]'.
[22:53:50]	Trainee RG-3506 used command '/CharTakeFlag karissa C'.
[22:54:26]	Trainee RG-3506 used command '/ToggleRaise'.
[22:54:29]	Petty Officer Third Class Karissa Novar has taken 252 damage from Trainee RG-3506.
[22:54:29]	Trainee RG-3506 has killed Petty Officer Third Class Karissa Novar with rw_sw_lightsaber_starkiller.
[22:54:31]	Trainee RG-3506 used command '/ToggleRaise'.
[22:54:54]	Petty Officer Third Class Karissa Novar has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[22:55:04]	Trainee RG-3506 has taken 500 damage from Petty Officer Third Class Karissa Novar.
[22:55:04]	Petty Officer Third Class Karissa Novar has killed Trainee RG-3506 with weapon_physgun.
[22:55:04]	Petty Officer Third Class Karissa Novar has taken 500 damage from Petty Officer Third Class Karissa Novar.
[22:55:04]	Petty Officer Third Class Karissa Novar has killed Petty Officer Third Class Karissa Novar.
[22:55:13]	Trainee RG-3506 used command '/CharAddAttribute karissa medical 7'.
[22:55:20]	Trainee RG-3506 used command '/ToggleRaise'.
[22:55:28]	Petty Officer Third Class Karissa Novar has taken 400 damage from Trainee RG-3506.
[22:55:28]	Trainee RG-3506 has killed Petty Officer Third Class Karissa Novar with rw_sw_lightsaber_dooku.
[22:55:31]	Trainee RG-3506 used command '/ToggleRaise'.
[22:55:34]	Petty Officer Third Class Karissa Novar has taken 1 damage from Trainee RG-3506.
[22:55:41]	[ME] Petty Officer Third Class Karissa Novar: makes you transhuman
[22:56:01]	Petty Officer Third Class Karissa Novar has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[22:56:39]	Trainee RG-3506 used command '/ToggleRaise'.
[22:56:51]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[22:56:53]	Trainee RG-3506 used command '/ToggleRaise'.
[22:56:59]	Trainee RG-3506 has taken 50 damage from prop_physics.
[22:57:00]	Trainee RG-3506 has taken 50 damage from prop_physics.
[22:57:00]	prop_physics has killed Trainee RG-3506.
[22:57:04]	Petty Officer Third Class Karissa Novar has taken 50 damage from prop_physics.
[22:57:16]	Trainee RG-3506 entered observer.
[22:57:16]	Trainee RG-3506 exited observer at their location.
[22:57:18]	Petty Officer Third Class Karissa Novar has spawned 'models/props_c17/gravestone001a.mdl'.
[22:57:47]	Trainee RG-3506 has taken 500 damage from Petty Officer Third Class Karissa Novar.
[22:57:47]	Petty Officer Third Class Karissa Novar has killed Trainee RG-3506 with weapon_physgun.
[22:58:28]	Trainee RG-3506 entered observer.
[22:58:30]	Trainee RG-3506 exited observer at their location.
[22:58:50]	Petty Officer Third Class Karissa Novar has taken 500 damage from Trainee RG-3506.
[22:58:50]	Trainee RG-3506 has killed Petty Officer Third Class Karissa Novar with weapon_physgun.
[23:00:55]	Trainee RG-3506 entered observer.
[23:00:57]	Trainee RG-3506 exited observer at their location.
[23:01:02]	Trainee RG-3506 entered observer.
[23:01:03]	Trainee RG-3506 exited observer at their location.
[23:01:04]	Trainee RG-3506 entered observer.
[23:01:04]	Trainee RG-3506 exited observer at their location.
[23:01:04]	Trainee RG-3506 entered observer.
[23:01:05]	Trainee RG-3506 exited observer at their location.
[23:01:05]	Trainee RG-3506 entered observer.
[23:01:05]	Trainee RG-3506 exited observer at their location.
[23:01:06]	Trainee RG-3506 has taken 70 damage from worldspawn.
[23:01:23]	Trainee RG-3506 used command '/ToggleRaise'.
[23:01:31]	Trainee RG-3506 used command '/ToggleRaise'.
[23:01:40]	Petty Officer Third Class Karissa Novar has spawned 'models/props_c17/FurnitureWashingmachine001a.mdl'.
[23:01:47]	Petty Officer Third Class Karissa Novar has taken 10 damage from Trainee RG-3506.
[23:01:48]	Trainee RG-3506 entered observer.
[23:01:49]	Trainee RG-3506 exited observer at their location.
[23:01:50]	Trainee RG-3506 entered observer.
[23:01:50]	Trainee RG-3506 exited observer at their location.
[23:01:50]	Petty Officer Third Class Karissa Novar has spawned 'models/props_c17/clock01.mdl'.
[23:01:52]	Petty Officer Third Class Karissa Novar has taken 10 damage from Trainee RG-3506.
[23:01:54]	Trainee RG-3506 entered observer.
[23:01:54]	Trainee RG-3506 exited observer at their location.
[23:02:00]	Trainee RG-3506 used command '/ToggleRaise'.
[23:02:10]	Petty Officer Third Class Karissa Novar has spawned 'models/props_c17/BriefCase001a.mdl'.
[23:02:11]	Trainee RG-3506 used command '/ToggleRaise'.
[23:02:13]	Trainee RG-3506 entered observer.
[23:02:15]	Trainee RG-3506 exited observer at their location.
[23:02:25]	[ME] Petty Officer Third Class Karissa Novar: is not arrested
[23:02:26]	Petty Officer Third Class Karissa Novar rolled 82 out of 100.
[23:02:26]	Petty Officer Third Class Karissa Novar used command '/Roll'.
[23:02:27]	Petty Officer Third Class Karissa Novar has taken 8 damage from obj_vj_flareround.
[23:02:27]	Petty Officer Third Class Karissa Novar has taken 500 damage from obj_vj_flareround.
[23:02:27]	obj_vj_flareround has killed Petty Officer Third Class Karissa Novar.
[23:02:52]	Trainee RG-3506 used command '/ToggleRaise'.
[23:02:59]	Trainee RG-3506 used command '/ToggleRaise'.
[23:03:13]	Trainee RG-3506 entered observer.
[23:03:14]	Trainee RG-3506 exited observer at their location.
[23:03:24]	Trainee RG-3506 has taken 100 damage from prop_physics.
[23:03:24]	prop_physics has killed Trainee RG-3506.
[23:03:30]	Trainee RG-3506 entered observer.
[23:03:34]	Trainee RG-3506 exited observer at their location.
[23:04:14]	Trainee RG-3506 has taken 10 damage from prop_physics.
[23:04:15]	Trainee RG-3506 has taken 10 damage from prop_physics.
[23:04:15]	Trainee RG-3506 has taken 100 damage from prop_physics.
[23:04:15]	prop_physics has killed Trainee RG-3506.
[23:04:21]	Trainee RG-3506 entered observer.
[23:04:23]	Trainee RG-3506 exited observer at their location.
[23:04:41]	Trainee RG-3506 entered observer.
[23:04:41]	Petty Officer Third Class Karissa Novar has taken 20 damage from prop_physics.
[23:04:42]	Trainee RG-3506 exited observer at their location.
[23:04:46]	Trainee RG-3506 has taken 500 damage from prop_physics.
[23:04:46]	prop_physics has killed Trainee RG-3506.
[23:04:46]	Trainee RG-3506 entered observer.
[23:04:47]	Trainee RG-3506 exited observer at their location.
[23:04:52]	Trainee RG-3506 entered observer.
[23:04:55]	Trainee RG-3506 exited observer at their location.
[23:04:55]	Trainee RG-3506 used command '/ToggleRaise'.
[23:04:58]	Petty Officer Third Class Karissa Novar has spawned 'models/props_junk/sawblade001a.mdl'.
[23:05:15]	Petty Officer Third Class Karissa Novar has taken 10 damage from Trainee RG-3506.
[23:05:16]	Trainee RG-3506 entered observer.
[23:05:17]	Trainee RG-3506 exited observer at their location.
[23:05:31]	Petty Officer Third Class Karissa Novar has taken 20 damage from prop_physics.
[23:05:34]	Petty Officer Third Class Karissa Novar has taken 100 damage from prop_physics.
[23:05:34]	prop_physics has killed Petty Officer Third Class Karissa Novar.
[23:05:45]	Trainee RG-3506 used command '/ToggleRaise'.
[23:06:03]	Petty Officer Third Class Karissa Novar has taken 10 damage from Trainee RG-3506.
[23:06:03]	Petty Officer Third Class Karissa Novar has taken 10 damage from Trainee RG-3506.
[23:06:03]	Petty Officer Third Class Karissa Novar has taken 10 damage from Trainee RG-3506.
[23:06:03]	Petty Officer Third Class Karissa Novar has taken 10 damage from Trainee RG-3506.
[23:06:04]	Petty Officer Third Class Karissa Novar has taken 10 damage from Trainee RG-3506.
[23:06:04]	Petty Officer Third Class Karissa Novar has taken 10 damage from Trainee RG-3506.
[23:06:04]	Petty Officer Third Class Karissa Novar has taken 10 damage from Trainee RG-3506.
[23:06:04]	Petty Officer Third Class Karissa Novar has taken 10 damage from Trainee RG-3506.
[23:06:04]	Petty Officer Third Class Karissa Novar has taken 10 damage from Trainee RG-3506.
[23:06:04]	Petty Officer Third Class Karissa Novar has taken 10 damage from Trainee RG-3506.
[23:06:04]	Trainee RG-3506 has killed Petty Officer Third Class Karissa Novar with weapon_vj_m16a1.
[23:06:22]	Trainee RG-3506 used command '/ToggleRaise'.
[23:06:30]	Petty Officer Third Class Karissa Novar has taken 15 damage from Trainee RG-3506.
[23:06:32]	Trainee RG-3506 entered observer.
[23:06:33]	Trainee RG-3506 exited observer at their location.
[23:06:34]	Petty Officer Third Class Karissa Novar has taken 15 damage from Trainee RG-3506.
[23:06:35]	Petty Officer Third Class Karissa Novar has taken 15 damage from Trainee RG-3506.
[23:06:35]	Petty Officer Third Class Karissa Novar has taken 15 damage from Trainee RG-3506.
[23:06:36]	Petty Officer Third Class Karissa Novar has taken 15 damage from Trainee RG-3506.
[23:06:36]	Petty Officer Third Class Karissa Novar has taken 15 damage from Trainee RG-3506.
[23:06:37]	Petty Officer Third Class Karissa Novar has taken 15 damage from Trainee RG-3506.
[23:06:37]	Trainee RG-3506 has killed Petty Officer Third Class Karissa Novar with weapon_vj_glock17.
[23:06:45]	Trainee RG-3506 used command '/ToggleRaise'.
