[13:03:47]	matt saton has connected.
[13:04:14]	matt saton loaded the character 'Leah Kassab'
[13:04:17]	Leah Kassab entered observer.
[13:04:38]	Leah Kassab exited observer at their location.
[13:04:38]	Leah Kassab entered observer.
[13:06:06]	Leah Kassab exited observer at their location.
[13:06:07]	Leah Kassab entered observer.
[13:06:08]	Leah Kassab exited observer at their location.
[13:33:53]	Leah Kassab entered observer.
[15:35:22]	Leah Kassab exited observer at their location.
[15:35:22]	Leah Kassab entered observer.
[15:35:23]	Leah Kassab exited observer at their location.
[15:35:28]	Leah Kassab entered observer.
[15:35:29]	Leah Kassab exited observer at their location.
[15:35:30]	Leah Kassab entered observer.
[15:35:31]	Leah Kassab exited observer at their location.
[15:35:37]	Leah Kassab entered observer.
[15:35:38]	Leah Kassab exited observer at their location.
[15:35:40]	Leah Kassab entered observer.
[15:35:40]	Leah Kassab exited observer at their location.
[15:35:42]	Leah Kassab has taken 2 damage from worldspawn.
[15:35:51]	Leah Kassab entered observer.
[15:35:51]	Leah Kassab exited observer at their location.
[15:35:57]	Leah Kassab entered observer.
[15:36:05]	Leah Kassab exited observer at their location.
[15:36:06]	Leah Kassab entered observer.
[15:36:06]	Leah Kassab exited observer at their location.
[15:36:10]	Leah Kassab entered observer.
[15:36:11]	Leah Kassab exited observer at their location.
[15:36:14]	Leah Kassab entered observer.
[15:36:18]	Leah Kassab exited observer at their location.
[15:36:20]	Leah Kassab entered observer.
[15:36:20]	Leah Kassab exited observer at their location.
[15:36:21]	Leah Kassab entered observer.
[15:36:22]	Leah Kassab exited observer at their location.
[15:36:22]	Leah Kassab entered observer.
[15:36:23]	Leah Kassab exited observer at their location.
[15:36:38]	Leah Kassab entered observer.
[15:36:41]	Leah Kassab exited observer at their location.
[15:36:41]	Leah Kassab entered observer.
[15:36:42]	Leah Kassab exited observer at their location.
[15:36:44]	Leah Kassab entered observer.
[15:36:47]	Leah Kassab exited observer at their location.
[15:36:50]	Leah Kassab entered observer.
[15:36:51]	Leah Kassab exited observer at their location.
[15:36:53]	Leah Kassab entered observer.
[15:36:55]	Leah Kassab exited observer at their location.
[15:36:57]	Leah Kassab entered observer.
[15:36:58]	Leah Kassab exited observer at their location.
[15:36:59]	Leah Kassab entered observer.
[15:36:59]	Leah Kassab exited observer at their location.
[15:37:02]	Leah Kassab entered observer.
[15:37:04]	Leah Kassab exited observer at their location.
[15:37:06]	Leah Kassab entered observer.
[15:37:08]	Leah Kassab exited observer at their location.
[15:37:11]	Leah Kassab entered observer.
[15:37:12]	Leah Kassab exited observer at their location.
[15:37:15]	Leah Kassab entered observer.
[15:37:16]	Leah Kassab exited observer at their location.
[15:37:16]	Leah Kassab entered observer.
[15:37:17]	Leah Kassab exited observer at their location.
[15:37:20]	Leah Kassab entered observer.
[15:37:22]	Leah Kassab exited observer at their location.
[15:37:22]	Leah Kassab entered observer.
[15:37:23]	Leah Kassab exited observer at their location.
[15:37:25]	Leah Kassab entered observer.
[15:37:31]	Leah Kassab exited observer at their location.
[15:37:32]	Leah Kassab entered observer.
[15:37:39]	Leah Kassab exited observer at their location.
[15:37:56]	Leah Kassab used command '/ToggleRaise'.
[15:38:31]	Leah Kassab has spawned 'models/props_c17/oildrum001.mdl'.
[15:38:32]	Leah Kassab has spawned 'models/props_c17/oildrum001.mdl'.
[15:38:45]	Leah Kassab entered observer.
[15:38:58]	Leah Kassab exited observer at their location.
[15:38:58]	Leah Kassab entered observer.
[15:38:59]	Leah Kassab exited observer at their location.
[15:39:09]	Leah Kassab has spawned 'models/props_c17/oildrum001.mdl'.
[15:39:10]	Leah Kassab entered observer.
[15:39:10]	Leah Kassab exited observer at their location.
[15:39:13]	Leah Kassab has spawned 'models/props_c17/oildrum001.mdl'.
[15:39:29]	Leah Kassab entered observer.
[15:39:29]	Leah Kassab exited observer at their location.
[15:39:30]	Leah Kassab entered observer.
[15:39:30]	Leah Kassab exited observer at their location.
[15:39:33]	Leah Kassab has taken 35 damage from worldspawn.
[15:39:33]	Leah Kassab entered observer.
[15:39:52]	Leah Kassab exited observer at their location.
[15:39:53]	Leah Kassab entered observer.
[15:39:53]	Leah Kassab exited observer at their location.
[15:39:56]	Leah Kassab entered observer.
[15:40:05]	Leah Kassab exited observer at their location.
[15:40:05]	Leah Kassab entered observer.
[15:40:07]	Leah Kassab exited observer at their location.
[15:40:08]	Leah Kassab entered observer.
[15:40:08]	Leah Kassab exited observer at their location.
[15:40:09]	Leah Kassab entered observer.
[15:40:09]	Leah Kassab exited observer at their location.
[15:40:10]	Leah Kassab entered observer.
[15:40:22]	Leah Kassab exited observer at their location.
[15:40:22]	Leah Kassab entered observer.
[15:40:23]	Leah Kassab exited observer at their location.
[15:40:23]	Leah Kassab entered observer.
[15:40:24]	Leah Kassab exited observer at their location.
[15:40:27]	Leah Kassab entered observer.
[15:40:28]	Leah Kassab exited observer at their location.
[15:40:28]	Leah Kassab entered observer.
[15:40:30]	Leah Kassab exited observer at their location.
[15:40:34]	Leah Kassab entered observer.
[15:40:36]	Leah Kassab exited observer at their location.
[15:40:36]	Leah Kassab entered observer.
[15:40:37]	Leah Kassab exited observer at their location.
[15:40:38]	Leah Kassab entered observer.
[15:40:39]	Leah Kassab exited observer at their location.
[15:40:45]	Leah Kassab has spawned 'models/props_c17/oildrum001_explosive.mdl'.
[15:40:49]	Leah Kassab entered observer.
[15:40:50]	Leah Kassab exited observer at their location.
[15:40:52]	Leah Kassab entered observer.
[15:41:12]	Leah Kassab exited observer at their location.
[15:41:13]	Leah Kassab entered observer.
[15:41:13]	Leah Kassab exited observer at their location.
[15:41:14]	Leah Kassab entered observer.
[15:41:14]	Leah Kassab exited observer at their location.
[15:41:16]	Leah Kassab entered observer.
[15:41:16]	Leah Kassab exited observer at their location.
[15:41:17]	Leah Kassab entered observer.
[15:41:18]	Leah Kassab exited observer at their location.
[15:41:18]	Leah Kassab entered observer.
[15:41:19]	Leah Kassab exited observer at their location.
[15:41:20]	Leah Kassab entered observer.
[15:41:21]	Leah Kassab exited observer at their location.
[15:41:22]	Leah Kassab entered observer.
[15:41:23]	Leah Kassab exited observer at their location.
[15:41:23]	Leah Kassab entered observer.
[15:41:29]	Leah Kassab exited observer at their location.
[15:41:30]	Leah Kassab entered observer.
[15:41:30]	Leah Kassab exited observer at their location.
[15:41:31]	Leah Kassab entered observer.
[15:41:31]	Leah Kassab exited observer at their location.
[15:41:35]	Leah Kassab entered observer.
[15:41:43]	Leah Kassab exited observer at their location.
[15:41:43]	Leah Kassab entered observer.
[15:41:51]	Leah Kassab exited observer at their location.
[15:41:51]	Leah Kassab entered observer.
[15:42:05]	Leah Kassab exited observer at their location.
[15:42:06]	Leah Kassab entered observer.
[15:42:07]	Leah Kassab exited observer at their location.
[16:35:01]	Leah Kassab entered observer.
[16:35:42]	Leah Kassab exited observer at their location.
[16:35:42]	Leah Kassab entered observer.
[16:35:43]	Leah Kassab exited observer at their location.
[16:35:44]	Leah Kassab entered observer.
[16:35:45]	Leah Kassab exited observer at their location.
[16:35:47]	Leah Kassab entered observer.
[16:35:48]	Leah Kassab exited observer at their location.
[16:35:49]	Leah Kassab entered observer.
[16:35:52]	Leah Kassab exited observer at their location.
[16:35:52]	Leah Kassab entered observer.
[16:35:52]	Leah Kassab exited observer at their location.
[16:35:53]	Leah Kassab entered observer.
[16:35:54]	Leah Kassab exited observer at their location.
[16:35:54]	Leah Kassab entered observer.
[16:35:55]	Leah Kassab exited observer at their location.
[16:35:56]	Leah Kassab has taken 43 damage from worldspawn.
[16:35:57]	Leah Kassab entered observer.
