[21:08:09]	matt saton has connected.
[21:08:18]	FB|| light ROOM has connected.
[21:08:43]	FB|| light ROOM loaded the character 'Sergeant RT-9824'
[21:10:30]	Mr. Chicken has connected.
[21:12:03]	Mr. Chicken loaded the character 'Flight Crewman Third Class Dash Rene'
[21:12:12]	[OOC] Flight Crewman Third Class Dash Rene: YOOOOOOOOOOOOOOOO
[21:12:16]	[OOC] Sergeant RT-9824: Yo
[21:12:17]	[OOC] Flight Crewman Third Class Dash Rene: WASSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSAH
[21:12:25]	[OOC] Sergeant RT-9824: UPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP
[21:12:35]	[OOC] Flight Crewman Third Class Dash Rene: WASSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSU
[21:12:47]	[OOC] Sergeant RT-9824: we might not have the map change event today.
[21:12:56]	[OOC] Flight Crewman Third Class Dash Rene: i hope we do >:(
[21:13:02]	[OOC] Sergeant RT-9824: Yeah, if not then tomorrow
[21:13:09]	[OOC] Flight Crewman Third Class Dash Rene: blue man bad black man good
[21:13:10]	[OOC] Flight Crewman Third Class Dash Rene: wait
[21:13:12]	[OOC] Flight Crewman Third Class Dash Rene: hold on
[21:13:50]	[OOC] Sergeant RT-9824: dumbo
[21:13:56]	[OOC] Flight Crewman Third Class Dash Rene: were you at
[21:14:01]	[OOC] Flight Crewman Third Class Dash Rene: i wants to do somes rp
[21:14:03]	[OOC] Sergeant RT-9824: Mess hall, just vibin
[21:14:15]	[OOC] Sergeant RT-9824: Might see if some extra people want to hop on
[21:14:41]	[OOC] Sergeant RT-9824: Chief do be joining
[21:15:04]	[OOC] Flight Crewman Third Class Dash Rene: :flushed:
[21:15:20]	[OOC] Sergeant RT-9824: cease
[21:15:26]	[ME] Flight Crewman Third Class Dash Rene: Hold helmet in one hand then holding a drink in the other hand walking into the messhall
[21:15:29]	[ME] Flight Crewman Third Class Dash Rene: Hold helmet in one hand then holding a drink in the other hand walking into the messhall
[21:15:34]	[ME] Flight Crewman Third Class Dash Rene: sits down
[21:16:11]	Mr. Chief has connected.
[21:18:19]	[LOOC] Sergeant RT-9824: Sparring?
[21:18:30]	[LOOC] Flight Crewman Third Class Dash Rene: ask ic
[21:18:33]	[LOOC] Sergeant RT-9824: Bet
[21:18:53]	[ME] Flight Crewman Third Class Dash Rene: gets off seat
[21:20:13]	Flight Crewman Third Class Dash Rene rolled 7 out of 100.
[21:20:13]	Flight Crewman Third Class Dash Rene used command '/Roll'.
[21:20:34]	[ME] Sergeant RT-9824: Takes off his gription boots and shit.
[21:20:43]	[ME] Flight Crewman Third Class Dash Rene: takes off life support and gear
[21:20:53]	[LOOC] Flight Crewman Third Class Dash Rene: yes
[21:20:56]	Sergeant RT-9824 rolled 30 out of 100.
[21:20:56]	Sergeant RT-9824 used command '/Roll'.
[21:21:20]	[ME] Sergeant RT-9824: Throws a roundhouse kick at the Pilots kidney area.
[21:21:32]	[ME] Flight Crewman Third Class Dash Rene: grabs foot
[21:21:45]	[IT] Sergeant RT-9824: You catch it, bruh.
[21:22:13]	[ME] Flight Crewman Third Class Dash Rene: trys to make the rt fall on his ass you know what i mean like pulling his leg foward making him fall
[21:22:29]	[OOC] Flight Crewman Third Class Dash Rene: yes
[21:22:39]	Mr. Chief created the character 'Lord Vader'
[21:22:39]	Mr. Chief loaded the character 'Lord Vader'
[21:22:41]	Lord Vader entered observer.
[21:22:52]	Lord Vader exited observer at their location.
[21:22:56]	Lord Vader entered observer.
[21:23:06]	[IT] Sergeant RT-9824: RT is off-balance but isn't completely on the ground.
[21:23:13]	[OOC] Flight Crewman Third Class Dash Rene: poggies
[21:23:14]	[IT] Sergeant RT-9824: -3 to agi rolls
[21:23:23]	[LOOC] Flight Crewman Third Class Dash Rene: go
[21:23:25]	Lord Vader exited observer at their location.
[21:23:25]	Lord Vader entered observer.
[21:23:31]	[OOC] Flight Crewman Third Class Dash Rene: lmao lord vader a purge
[21:23:42]	[ME] Sergeant RT-9824: Attempts to get his foot out of the pilot's grasp.
[21:23:59]	[IT] Sergeant RT-9824: The RT shakes off Rene, what a nerd.
[21:23:59]	Lord Vader used command '/CharGiveFlag vader petnrC'.
[21:24:01]	[OOC] Flight Crewman Third Class Dash Rene: wait wouldent that be agi eh whatever
[21:24:09]	Lord Vader used command '/CharGiveFlag vader c'.
[21:24:14]	Lord Vader used command '/CharTakeFlag vader C'.
[21:24:22]	[ME] Flight Crewman Third Class Dash Rene: roundhouse kicks in temple
[21:24:23]	Lord Vader has spawned 'models/hgn/swrp/swrp/darth_vader.mdl'.
[21:24:25]	Lord Vader exited observer at their location.
