[17:06:10]	matt saton has connected.
[17:09:12]	matt saton loaded the character 'Lieutenant Ezyn Linmer'
[17:09:14]	Lieutenant Ezyn Linmer entered observer.
[17:09:36]	Lieutenant Ezyn Linmer has spawned 'models/petaly/petergriffin/petergriffin.mdl'.
[17:09:38]	Lieutenant Ezyn Linmer exited observer at their location.
[17:09:57]	matt saton created the character 'Peter Griffin'
[17:10:01]	matt saton loaded the character 'Peter Griffin'
[17:10:04]	Peter Griffin used command '/CharSetModel peter models/petaly/petergriffin/petergriffin.mdl'.
[17:10:05]	Peter Griffin entered observer.
[17:10:05]	Peter Griffin exited observer at their location.
[17:10:17]	Peter Griffin used command '/CharGiveFlag peter petncr'.
[17:10:55]	Peter Griffin used command '/CharSetModel peter models/carlwheezer/playermodels/carlwheezer.mdl'.
[17:11:30]	Peter Griffin entered observer.
[17:11:52]	Peter Griffin exited observer at their location.
[17:12:20]	Peter Griffin used command '/CharSetModel peter models/player/familyguy/stewie.mdl'.
[17:12:51]	Peter Griffin used command '/CharSetModel peter models/player/familyguy/brian.mdl'.
[17:14:42]	Peter Griffin used command '/CharSetModel peter models/jessev92/starwars/characters/sithjarjar.mdl'.
[17:15:17]	Peter Griffin used command '/CharSetModel peter models/hellinspector/lois_family_guy/lois_pm.mdl'.
[17:16:57]	Peter Griffin used command '/CharSetModel peter models/jessev92/starwars/characters/sithjarjar.mdl'.
[17:17:37]	Peter Griffin used command '/CharSetModel peter models/player/familyguy/chris/chrisg_pm.mdl'.
[17:17:41]	Peter Griffin used command '/ToggleRaise'.
[17:17:54]	Peter Griffin used command '/ToggleRaise'.
[17:19:26]	Peter Griffin used command '/ToggleRaise'.
[17:19:39]	Peter Griffin used command '/ToggleRaise'.
[17:19:51]	Peter Griffin entered observer.
[17:19:51]	Peter Griffin exited observer at their location.
[17:19:51]	Peter Griffin entered observer.
[17:19:54]	Peter Griffin exited observer at their location.
[17:19:54]	Peter Griffin entered observer.
[17:19:55]	Peter Griffin exited observer at their location.
[17:19:56]	Peter Griffin entered observer.
[17:20:08]	Peter Griffin exited observer at their location.
[17:20:08]	Peter Griffin entered observer.
[17:20:10]	Peter Griffin exited observer at their location.
[17:20:10]	Peter Griffin entered observer.
[17:20:12]	Peter Griffin exited observer at their location.
[17:20:14]	Peter Griffin entered observer.
[17:20:19]	Peter Griffin exited observer at their location.
[17:20:20]	Peter Griffin has taken 41 damage from worldspawn.
[17:20:24]	Peter Griffin entered observer.
[17:20:25]	Peter Griffin exited observer at their location.
[17:20:37]	Peter Griffin used command '/ToggleRaise'.
[17:20:43]	Peter Griffin used command '/ToggleRaise'.
[17:22:32]	Peter Griffin used command '/ToggleRaise'.
[17:23:22]	Peter Griffin has spawned a 'Entity [971][item_battery]'.
[17:23:23]	Peter Griffin has spawned a 'Entity [972][item_battery]'.
[17:23:24]	Peter Griffin has spawned a 'Entity [971][item_battery]'.
[17:23:25]	Peter Griffin entered observer.
[17:23:34]	Peter Griffin exited observer at their location.
[17:23:35]	Peter Griffin has spawned a 'Entity [971][item_battery]'.
[17:23:37]	Peter Griffin has spawned a 'Entity [971][item_battery]'.
[17:23:37]	Peter Griffin has spawned a 'Entity [972][item_battery]'.
[17:23:37]	Peter Griffin has spawned a 'Entity [973][item_battery]'.
[17:23:38]	Peter Griffin has spawned a 'Entity [974][item_battery]'.
[17:23:38]	Peter Griffin has spawned a 'Entity [975][item_battery]'.
[17:23:38]	Peter Griffin has spawned a 'Entity [976][item_battery]'.
[17:23:38]	Peter Griffin has spawned a 'Entity [977][item_battery]'.
[17:23:38]	Peter Griffin has spawned a 'Entity [971][item_battery]'.
[17:23:38]	Peter Griffin has spawned a 'Entity [978][item_battery]'.
[17:23:39]	Peter Griffin has spawned a 'Entity [973][item_battery]'.
[17:24:17]	Peter Griffin entered observer.
[17:24:18]	Peter Griffin exited observer at their location.
[17:24:34]	Peter Griffin has spawned a 'NPC [974][npc_combine]'.
[17:24:35]	Peter Griffin has spawned a 'NPC [979][npc_citizen]'.
[17:24:39]	Peter Griffin has spawned a 'NPC [974][npc_citizen]'.
[17:24:43]	Peter Griffin has spawned a 'NPC [974][npc_combine_s]'.
[17:24:46]	Peter Griffin has taken 10 damage from npc_combine_s.
[17:24:52]	Peter Griffin has spawned a 'NPC [973][npc_combine]'.
[17:24:55]	Peter Griffin has taken 3 damage from npc_combine.
[17:24:56]	Peter Griffin has taken 3 damage from npc_combine.
[17:24:59]	Peter Griffin has spawned a 'Entity [979][item_box_buckshot]'.
[17:24:59]	Peter Griffin has spawned a 'Entity [981][item_box_buckshot]'.
[17:25:00]	Peter Griffin has taken 3 damage from npc_combine.
[17:25:00]	Peter Griffin has spawned a 'Entity [982][item_box_buckshot]'.
[17:25:00]	Peter Griffin has spawned a 'Entity [983][item_box_buckshot]'.
[17:25:00]	Peter Griffin has spawned a 'Entity [984][item_box_buckshot]'.
[17:25:02]	Peter Griffin has taken 3 damage from npc_combine.
[17:25:02]	Peter Griffin has taken 3 damage from npc_combine.
[17:25:09]	Peter Griffin has spawned a 'NPC [972][npc_combine_s]'.
[17:25:19]	Peter Griffin has taken 40 damage from npc_combine_s.
[17:25:21]	Peter Griffin has taken 40 damage from npc_combine_s.
[17:25:22]	Peter Griffin has taken 40 damage from npc_combine_s.
[17:25:36]	Peter Griffin used command '/ToggleRaise'.
[17:25:37]	Peter Griffin entered observer.
[17:25:38]	Peter Griffin exited observer at their location.
[17:25:38]	Peter Griffin entered observer.
[17:25:42]	Peter Griffin used command '/ToggleRaise'.
[17:25:51]	Peter Griffin used command '/ToggleRaise'.
[17:26:06]	Peter Griffin used command '/ToggleRaise'.
[17:26:11]	Peter Griffin has spawned a 'NPC [972][npc_combine_s]'.
[17:26:33]	Peter Griffin has spawned a 'NPC [983][npc_combine]'.
[17:26:35]	Peter Griffin has spawned a 'NPC [985][npc_combine_s]'.
[17:26:35]	Peter Griffin used command '/ToggleRaise'.
[17:26:35]	Peter Griffin exited observer at their location.
[17:27:21]	Peter Griffin entered observer.
[17:27:34]	Peter Griffin exited observer at their location.
[17:27:43]	Peter Griffin used command '/ToggleRaise'.
