[07:59:54]	Crewman Second Class Zeak Rold has taken 9 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[07:59:54]	Private First Class Lastimosa 'Marauder' Oldblood has killed Crewman Second Class Zeak Rold with ix_hands.
[07:59:55]	Private First Class Lastimosa 'Marauder' Oldblood used command '/ToggleRaise'.
[08:00:05]	Crewman Second Class Zeak Rold used the 'Supply Locker' vendor.
[08:00:07]	Crewman Second Class Zeak Rold has gained 0 credits.
[08:00:07]	Crewman Second Class Zeak Rold has gained a 'Tibanna Cartridge' #1670.
[08:00:07]	Crewman Second Class Zeak Rold has gained 0 credits.
[08:00:07]	Crewman Second Class Zeak Rold has gained a 'Tibanna Cartridge' #1671.
[08:00:08]	Crewman Second Class Zeak Rold has gained 0 credits.
[08:00:08]	Crewman Second Class Zeak Rold has gained a 'Tibanna Cartridge' #1672.
[08:00:08]	Crewman Second Class Zeak Rold has gained 0 credits.
[08:00:08]	Crewman Second Class Zeak Rold has gained a 'Tibanna Cartridge' #1673.
[08:00:36]	kholtonwaggoner (STEAM_0:1:572328817) has disconnected.
[08:00:58]	Crewman Second Class Zeak Rold ran 'Equip' on item 'DH-17 Blaster' (#1622)
[08:01:02]	Crewman Second Class Zeak Rold ran 'use' on item 'Tibanna Cartridge' (#1673)
[08:01:05]	Crewman Second Class Zeak Rold used the 'Supply Locker' vendor.
[08:01:07]	Crewman Second Class Zeak Rold has gained 0 credits.
[08:01:07]	Crewman Second Class Zeak Rold has gained a 'Tibanna Cartridge' #1673.
[08:01:08]	Crewman Second Class Zeak Rold has gained 0 credits.
[08:01:08]	Crewman Second Class Zeak Rold has gained a 'Tibanna Cartridge' #1674.
[08:01:09]	Crewman Second Class Zeak Rold has gained 0 credits.
[08:01:09]	Crewman Second Class Zeak Rold has gained a 'Tibanna Cartridge' #1675.
[08:01:09]	Crewman Second Class Zeak Rold has gained 0 credits.
[08:01:09]	Crewman Second Class Zeak Rold has gained a 'Tibanna Cartridge' #1676.
[08:01:27]	Private First Class Lastimosa 'Marauder' Oldblood has taken 75 damage from worldspawn.
[08:01:47]	Private First Class Lastimosa 'Marauder' Oldblood has taken 4 damage from Crewman Second Class Zeak Rold.
[08:01:49]	Private First Class Lastimosa 'Marauder' Oldblood has taken 23 damage from Crewman Second Class Zeak Rold.
[08:01:50]	Private First Class Lastimosa 'Marauder' Oldblood has taken 3 damage from Crewman Second Class Zeak Rold.
[08:01:51]	Private First Class Lastimosa 'Marauder' Oldblood has taken 188 damage from Crewman Second Class Zeak Rold.
[08:01:52]	Private First Class Lastimosa 'Marauder' Oldblood has taken 3 damage from Crewman Second Class Zeak Rold.
[08:01:52]	Private First Class Lastimosa 'Marauder' Oldblood has taken 24 damage from Crewman Second Class Zeak Rold.
[08:01:52]	Private First Class Lastimosa 'Marauder' Oldblood has taken 23 damage from Crewman Second Class Zeak Rold.
[08:01:52]	Private First Class Lastimosa 'Marauder' Oldblood has taken 23 damage from Crewman Second Class Zeak Rold.
[08:01:53]	Private First Class Lastimosa 'Marauder' Oldblood has taken 25 damage from Crewman Second Class Zeak Rold.
[08:01:53]	Private First Class Lastimosa 'Marauder' Oldblood has taken 30 damage from Crewman Second Class Zeak Rold.
[08:01:53]	Private First Class Lastimosa 'Marauder' Oldblood has taken 31 damage from Crewman Second Class Zeak Rold.
[08:01:57]	Private First Class Lastimosa 'Marauder' Oldblood has taken 178 damage from Crewman Second Class Zeak Rold.
[08:01:58]	Private First Class Lastimosa 'Marauder' Oldblood has taken 176 damage from Crewman Second Class Zeak Rold.
[08:01:59]	Private First Class Lastimosa 'Marauder' Oldblood has taken 187 damage from Crewman Second Class Zeak Rold.
[08:01:59]	Private First Class Lastimosa 'Marauder' Oldblood used command '/ToggleRaise'.
[08:02:00]	Private First Class Lastimosa 'Marauder' Oldblood has taken 29 damage from Crewman Second Class Zeak Rold.
[08:02:00]	Private First Class Lastimosa 'Marauder' Oldblood has taken 189 damage from Crewman Second Class Zeak Rold.
[08:02:01]	Crewman Second Class Zeak Rold has taken 184 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:02:01]	Private First Class Lastimosa 'Marauder' Oldblood has killed Crewman Second Class Zeak Rold with rw_sw_e11.
[08:02:02]	Private First Class Lastimosa 'Marauder' Oldblood used command '/ToggleRaise'.
[08:02:11]	Crewman Second Class Zeak Rold ran 'Equip' on item 'DH-17 Blaster' (#1622)
[08:02:16]	Crewman Second Class Zeak Rold ran 'use' on item 'Tibanna Cartridge' (#1676)
[08:02:19]	Private First Class Lastimosa 'Marauder' Oldblood has taken 180 damage from Crewman Second Class Zeak Rold.
[08:02:20]	Private First Class Lastimosa 'Marauder' Oldblood has taken 31 damage from Crewman Second Class Zeak Rold.
[08:02:20]	Private First Class Lastimosa 'Marauder' Oldblood has taken 183 damage from Crewman Second Class Zeak Rold.
[08:02:20]	Private First Class Lastimosa 'Marauder' Oldblood has taken 186 damage from Crewman Second Class Zeak Rold.
[08:02:21]	Private First Class Lastimosa 'Marauder' Oldblood has taken 31 damage from Crewman Second Class Zeak Rold.
[08:02:22]	Private First Class Lastimosa 'Marauder' Oldblood has taken 182 damage from Crewman Second Class Zeak Rold.
[08:02:23]	Private First Class Lastimosa 'Marauder' Oldblood has taken 173 damage from Crewman Second Class Zeak Rold.
[08:02:23]	Private First Class Lastimosa 'Marauder' Oldblood has taken 175 damage from Crewman Second Class Zeak Rold.
[08:02:23]	Private First Class Lastimosa 'Marauder' Oldblood has taken 29 damage from Crewman Second Class Zeak Rold.
[08:02:24]	Private First Class Lastimosa 'Marauder' Oldblood has taken 3 damage from Crewman Second Class Zeak Rold.
[08:02:25]	Private First Class Lastimosa 'Marauder' Oldblood has taken 31 damage from Crewman Second Class Zeak Rold.
[08:02:25]	Private First Class Lastimosa 'Marauder' Oldblood has taken 29 damage from Crewman Second Class Zeak Rold.
[08:02:25]	Private First Class Lastimosa 'Marauder' Oldblood has taken 30 damage from Crewman Second Class Zeak Rold.
[08:02:26]	Private First Class Lastimosa 'Marauder' Oldblood has taken 30 damage from Crewman Second Class Zeak Rold.
[08:02:26]	Private First Class Lastimosa 'Marauder' Oldblood has taken 29 damage from Crewman Second Class Zeak Rold.
[08:02:27]	Private First Class Lastimosa 'Marauder' Oldblood used command '/ToggleRaise'.
[08:02:29]	Crewman Second Class Zeak Rold has taken 177 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:02:29]	Private First Class Lastimosa 'Marauder' Oldblood has killed Crewman Second Class Zeak Rold with rw_sw_e11.
[08:02:30]	Private First Class Lastimosa 'Marauder' Oldblood used command '/ToggleRaise'.
[08:02:38]	Private First Class Lastimosa 'Marauder' Oldblood used command '/ToggleRaise'.
[08:03:02]	Crewman Second Class Zeak Rold has taken 9 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:03:15]	Crewman Second Class Zeak Rold has taken 9 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:03:18]	Crewman Second Class Zeak Rold has taken 9 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:03:19]	Crewman Second Class Zeak Rold has taken 9 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:03:20]	Crewman Second Class Zeak Rold has taken 9 damage from Private First Class Lastimosa 'Marauder' Oldblood.
