[11:55:26]	Lieutenant Ezyn Linmer has spawned a 'Entity [981][sent_vj_adminhealthkit]'.
[11:55:26]	Lieutenant Ezyn Linmer has spawned a 'Entity [979][sent_vj_adminhealthkit]'.
[11:55:26]	Lieutenant Ezyn Linmer has spawned a 'Entity [980][sent_vj_adminhealthkit]'.
[11:55:27]	Lieutenant Ezyn Linmer has spawned a 'Entity [973][sent_vj_adminhealthkit]'.
[11:55:27]	Lieutenant Ezyn Linmer has spawned a 'Entity [974][sent_vj_adminhealthkit]'.
[11:55:27]	Lieutenant Ezyn Linmer has spawned a 'Entity [976][sent_vj_adminhealthkit]'.
[11:55:27]	Lieutenant Ezyn Linmer has spawned a 'Entity [977][sent_vj_adminhealthkit]'.
[11:55:27]	Lieutenant Ezyn Linmer has spawned a 'Entity [981][sent_vj_adminhealthkit]'.
[11:55:27]	Lieutenant Ezyn Linmer has spawned a 'Entity [979][sent_vj_adminhealthkit]'.
[11:55:28]	Lieutenant Ezyn Linmer has spawned a 'Entity [980][sent_vj_adminhealthkit]'.
[11:55:28]	Lieutenant Ezyn Linmer has spawned a 'Entity [973][sent_vj_adminhealthkit]'.
[11:55:28]	Lieutenant Ezyn Linmer has spawned a 'Entity [974][sent_vj_adminhealthkit]'.
[11:55:28]	Lieutenant Ezyn Linmer has spawned a 'Entity [982][sent_vj_adminhealthkit]'.
[11:55:28]	Lieutenant Ezyn Linmer has spawned a 'Entity [976][sent_vj_adminhealthkit]'.
[11:55:29]	Lieutenant Ezyn Linmer has spawned a 'Entity [981][sent_vj_adminhealthkit]'.
[11:55:29]	Lieutenant Ezyn Linmer has spawned a 'Entity [979][sent_vj_adminhealthkit]'.
[11:55:29]	Lieutenant Ezyn Linmer has spawned a 'Entity [980][sent_vj_adminhealthkit]'.
[11:55:29]	Lieutenant Ezyn Linmer has spawned a 'Entity [973][sent_vj_adminhealthkit]'.
[11:55:31]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][sent_vj_board]'.
[11:55:37]	Lieutenant Ezyn Linmer used command '/ToggleRaise'.
[11:55:44]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][obj_vj_plasmanade]'.
[11:55:47]	Lieutenant Ezyn Linmer used command '/ToggleRaise'.
[11:55:48]	Lieutenant Ezyn Linmer has taken 150 damage from obj_vj_plasmanade.
[11:55:49]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][obj_vj_spikenade]'.
[11:55:50]	Lieutenant Ezyn Linmer has taken 100 damage from obj_vj_spikenade.
[11:55:52]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][obj_vj_eatdrep]'.
[11:55:56]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][obj_vj_eatdcis]'.
[11:55:58]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][obj_vj_eatdcis]'.
[11:56:02]	Lieutenant Ezyn Linmer entered observer.
[11:56:06]	Lieutenant Ezyn Linmer exited observer at their location.
[11:56:06]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][obj_vj_eatdrep]'.
[11:56:07]	Lieutenant Ezyn Linmer entered observer.
[11:56:10]	Lieutenant Ezyn Linmer exited observer at their location.
[11:56:13]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][obj_vj_plasmanade]'.
[11:56:22]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][obj_vj_spikenade]'.
[11:56:26]	Lieutenant Ezyn Linmer entered observer.
[11:56:27]	Lieutenant Ezyn Linmer exited observer at their location.
[11:56:27]	Lieutenant Ezyn Linmer entered observer.
[11:56:31]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][prop_vj_flag]'.
[11:56:36]	Lieutenant Ezyn Linmer has spawned a 'Entity [974][sent_vj_board]'.
[11:56:37]	Lieutenant Ezyn Linmer exited observer at their location.
[11:56:39]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][sent_vj_adminhealthkit]'.
[11:56:43]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][ix_reader]'.
[11:56:44]	Lieutenant Ezyn Linmer has spawned a 'Entity [974][ix_idprinter]'.
[11:56:46]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][ix_idmanager]'.
[11:56:50]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][aura_ai_turret_dc17m_sn]'.
[11:56:54]	Lieutenant Ezyn Linmer has spawned a 'Vehicle [965][prop_vehicle_prisoner_pod]'.
