[16:47:45]	matt saton has connected.
[16:53:45]	matt saton loaded the character 'Darth Hexus'
[16:53:48]	Darth Hexus entered observer.
[16:53:55]	Darth Hexus exited observer at their location.
[16:54:22]	Darth Hexus entered observer.
[17:05:53]	Darth Hexus exited observer at their location.
[17:06:17]	matt saton loaded the character 'Lance Corporal TK-5919'
[17:10:16]	Lance Corporal TK-5919 entered observer.
[17:10:37]	Lance Corporal TK-5919 exited observer at their location.
[17:10:48]	Lance Corporal TK-5919 entered observer.
[17:36:52]	matt saton (STEAM_0:1:53097688) has disconnected.
