[17:01:20]	[ME] Dakota Oswalt: peers through the window. To no avail yet again, not a single unit in sight. He sighs, and slogs back out the door.
[17:01:31]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:01:33]	CCA.C17-GRID.i1.59212 entered observer.
[17:01:46]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:01:48]	CCA.C17-GRID.i1.59212 entered observer.
[17:01:51]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:01:56]	CCA.C17-GRID.i1.59212 entered observer.
[17:02:08]	[ME] Dakota Oswalt: peers up to the night sky. He sits down on the pavement to stare down the unusually large moon.
[17:02:34]	[ME] Dakota Oswalt: looks back at the empty plaza. He scans it every few moments.
[17:02:41]	[ME] Dakota Oswalt: notices stupid fucking ghosts back at it again.
[17:02:53]	[OOC] CCA.C17-GRID.i1.59212: drink it
[17:03:00]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[17:03:06]	[OOC] Dakota Oswalt: i know its power.,,,
[17:03:25]	CCA.C17-GRID.i1.59212 used command '/Event You have the sudden urge to drink it, almost like there's a gun to your head'.
[17:03:40]	[ME] Dakota Oswalt: does not drink it. He knows not to listen to the voices in his head.
[17:03:58]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:04:00]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[17:04:08]	[LOOC] CCA.C17-GRID.i1.59212: is my pac working
[17:04:09]	[ME] Dakota Oswalt: instead rips open a ration packet. He tries to eat it but is bluntly reminded that he's wearing a huge fucking mask. He stares up to the unit.
[17:04:17]	[LOOC] Dakota Oswalt: yes
[17:04:38]	CCA.C17-GRID.i1.59212 ran 'take' on item 'Amphibious Consulate Water' (#10100)
[17:04:38]	CCA.C17-GRID.i1.59212 has gained a 'Amphibious Consulate Water' #10100.
[17:04:42]	CCA.C17-GRID.i1.59212 used command '/PlySearch'.
[17:04:45]	Dakota Oswalt has gained a 'Amphibious Consulate Water' #10100.
[17:04:48]	CCA.C17-GRID.i1.59212 ran 'Drink' on item 'Amphibious Consulate Water' (#10100)
[17:04:54]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[17:04:57]	CCA.C17-GRID.i1.59212 entered observer.
[17:05:46]	[ME] Dakota Oswalt: stares at his bloodied hands. He regrets his actions immensely. In the judgement of Combine God, aswell. He looks down at the frogge in shame.
[17:05:54]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:05:57]	CCA.C17-GRID.i1.59212 entered observer.
[17:05:58]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:05:59]	Dakota Oswalt has taken 2500 damage from nexus_consul_laser_hurt.
[17:05:59]	nexus_consul_laser_hurt has killed Dakota Oswalt.
[17:05:59]	CCA.C17-GRID.i1.59212 has taken 2500 damage from nexus_consul_laser_hurt.
[17:05:59]	nexus_consul_laser_hurt has killed CCA.C17-GRID.i1.59212.
[17:06:05]	[ME] Dakota Oswalt: fuckign die
