[20:41:22]	matt saton has connected.
[20:42:31]	matt saton loaded the character 'Lee Maylor'
[20:42:35]	Lee Maylor entered observer.
[20:43:26]	Lee Maylor used command '/CharSetHunger lee 100'.
[20:43:29]	Lee Maylor used command '/CharSetThirst maylor 100'.
[20:44:53]	Lee Maylor ran 'View' on item 'Paper' (#11100)
[20:44:59]	Lee Maylor ran 'View' on item 'Notepad' (#13969)
[20:45:02]	Lee Maylor ran 'View' on item 'Paper' (#12540)
[20:45:20]	Lee Maylor ran 'Edit' on item 'Notepad' (#20761)
[20:46:15]	Lee Maylor exited observer at their location.
[20:46:15]	Lee Maylor entered observer.
[20:46:16]	Lee Maylor exited observer at their location.
[20:46:16]	Lee Maylor entered observer.
[20:46:16]	Lee Maylor exited observer at their location.
[20:46:17]	Lee Maylor entered observer.
[20:46:18]	Lee Maylor exited observer at their location.
[20:46:19]	Lee Maylor entered observer.
[20:46:19]	Lee Maylor exited observer at their location.
[20:46:20]	Lee Maylor entered observer.
[20:46:22]	Lee Maylor exited observer at their location.
[20:46:25]	Lee Maylor entered observer.
[20:46:29]	Lee Maylor exited observer at their location.
[20:46:29]	Lee Maylor entered observer.
[20:46:31]	Lee Maylor exited observer at their location.
[20:46:32]	Lee Maylor entered observer.
[20:46:34]	Lee Maylor exited observer at their location.
[20:46:58]	Lee Maylor entered observer.
[20:47:52]	Lee Maylor exited observer at their location.
[20:47:53]	Lee Maylor entered observer.
[20:55:51]	Dilly_ has connected.
[20:57:00]	Dilly_ loaded the character 'Crimson'
[20:57:50]	[ME] Crimson: vibes
[20:58:24]	[ME] Crimson: vibes some more
[21:01:31]	Beedle has connected.
[21:02:54]	Beedle loaded the character 'Kane Davis'
[21:06:42]	[ME] Crimson: vibes
[21:06:57]	[ME] Kane Davis: looks down and jumps a bit seeing small movement, "Ahhh!"
[21:08:01]	[ME] Crimson: would start to peck a bit at the ground for a few moments but its attention doesn't last long as it looks off into the distance and flies off
[21:10:50]	Dilly_ loaded the character 'CCA.C08-UNION.i1.93347'
[21:12:16]	CCA.C08-UNION.i1.93347 used command '/Radio 10-8 standing by'.
[21:12:23]	Kane Davis ran 'Edit' on item 'Paper' (#20773)
[21:12:46]	Kane Davis ran 'Edit' on item 'Paper' (#20773)
[21:12:58]	CCA.C08-UNION.i1.93347 used command '/Radio 933 is relocating to 10-50. Current sociostatus is in the green, monitering.'.
[21:13:35]	CCA.C08-UNION.i1.93347 ran 'Equip' on item 'SPAS-12' (#14391)
[21:13:36]	CCA.C08-UNION.i1.93347 ran 'Equip' on item 'USP Match' (#206)
[21:13:38]	CCA.C08-UNION.i1.93347 ran 'Equip' on item 'Combat Knife' (#14406)
[21:13:47]	[OOC] Lee Maylor: oh shit y'all are in
[21:13:48]	[OOC] Lee Maylor: what up
[21:13:55]	[OOC] Lee Maylor: i was making a soyboy version of my pfp and stuff
[21:13:55]	[OOC] CCA.C08-UNION.i1.93347: shhh no we're not all in
[21:14:35]	Kane Davis ran 'drop' on item 'Paper' (#20773)
[21:14:35]	Kane Davis has lost a 'Paper' #20773.
[21:14:41]	Kane Davis ran 'View' on item 'Paper' (#20773)
[21:14:41]	CCA.C08-UNION.i1.93347 used command '/Radio 17th St. No indications of civil activity, monitering.'.
[21:15:08]	Kane Davis ran 'View' on item 'Paper' (#20773)
[21:15:16]	[ME] CCA.C08-UNION.i1.93347: would shine his flashlight in the window
[21:15:36]	Kane Davis ran 'take' on item 'Paper' (#20773)
[21:15:36]	Kane Davis has gained a 'Paper' #20773.
[21:15:42]	Kane Davis ran 'View' on item 'Paper' (#20773)
[21:15:50]	CCA.C08-UNION.i1.93347 has gained 10 tokens.
[21:15:52]	Kane Davis ran 'Edit' on item 'Paper' (#20773)
[21:16:19]	Kane Davis ran 'View' on item 'Paper' (#20773)
[21:16:22]	Kane Davis ran 'drop' on item 'Paper' (#20773)
[21:16:22]	Kane Davis has lost a 'Paper' #20773.
[21:16:38]	[OOC] Lee Maylor: WHEN THAT shirt comes 
