[21:20:47]	matt saton has connected.
[21:22:29]	matt saton loaded the character 'CCA.C08-UNION.i1.51023'
[21:22:30]	CCA.C08-UNION.i1.51023 entered observer.
[21:22:33]	CCA.C08-UNION.i1.51023 exited observer at their location.
[21:22:39]	matt saton loaded the character 'Lee Maylor'
[21:22:43]	Lee Maylor ran 'EquipUn' on item 'Combine Hazmat Worker Suit' (#12418)
[21:22:44]	Lee Maylor has taken 2 damage from Lee Maylor.
[21:22:44]	Lee Maylor ran 'Equip' on item 'Conscript Hazmat Armor' (#12416)
[21:22:46]	Lee Maylor ran 'EquipUn' on item 'Conscript Hazmat Armor' (#12416)
[21:22:48]	Lee Maylor ran 'Equip' on item 'Cyclopic Citizen Suit' (#6)
[21:22:53]	Lee Maylor has gained a 'OTA Filter' #12509.
[21:22:53]	Lee Maylor used command '/CharGiveItem maylor ota filter'.
[21:22:54]	Lee Maylor ran 'equip' on item 'OTA Filter' (#12509)
[21:22:54]	Lee Maylor entered observer.
[21:23:03]	Lee Maylor exited observer at their location.
[21:23:14]	Lee Maylor has taken 2 damage from Lee Maylor.
[21:23:22]	Lee Maylor used command '/ToggleRaise'.
[21:23:29]	Lee Maylor has taken 2 damage from Lee Maylor.
[21:23:35]	Lee Maylor used command '/CharSetHunger maylor 100'.
[21:23:39]	Lee Maylor used command '/CharSetThirst maylor 100'.
[21:23:39]	Lee Maylor entered observer.
[21:23:42]	Lee Maylor exited observer at their location.
[21:23:43]	Lee Maylor ran 'View' on item 'Notepad' (#12115)
[21:23:52]	Lee Maylor entered observer.
[21:23:55]	Lee Maylor exited observer at their location.
[21:23:56]	Lee Maylor used command '/adminspawnmenu'.
[21:24:02]	Lee Maylor has gained a 'Amphibious Consulate Water' #12509.
[21:24:02]	Lee Maylor used command '/CharGiveItem maylor amphib'.
[21:24:10]	Lee Maylor ran 'Drink' on item 'Amphibious Consulate Water' (#12509)
[21:24:12]	Lee Maylor used command '/ToggleRaise'.
[21:24:24]	Lee Maylor used command '/ToggleRaise'.
[21:24:29]	Lee Maylor used command '/ToggleRaise'.
[21:24:36]	Lee Maylor entered observer.
[21:24:41]	Lee Maylor exited observer at their location.
[21:24:46]	Lee Maylor used command '/adminspawnmenu'.
[21:24:53]	Lee Maylor has gained a 'Expired Milk' #12509.
[21:24:53]	Lee Maylor used command '/CharGiveItem maylor expired'.
[21:24:54]	Lee Maylor ran 'drop' on item 'Expired Milk' (#12509)
[21:24:54]	Lee Maylor has lost a 'Expired Milk' #12509.
[21:25:32]	Lee Maylor used command '/adminspawnmenu'.
[21:25:55]	Lee Maylor has spawned "Raw Bullsquid Meat"
[21:25:59]	Lee Maylor ran 'take' on item 'Raw Bullsquid Meat' (#12510)
[21:25:59]	Lee Maylor has gained a 'Raw Bullsquid Meat' #12510.
[21:25:59]	Lee Maylor entered observer.
[21:26:02]	Lee Maylor exited observer at their location.
[21:26:02]	Lee Maylor entered observer.
[21:26:03]	Lee Maylor exited observer at their location.
[21:26:19]	Lee Maylor used command '/ToggleRaise'.
[21:26:54]	Lee Maylor ran 'drop' on item 'Raw Bullsquid Meat' (#12510)
[21:26:54]	Lee Maylor has lost a 'Raw Bullsquid Meat' #12510.
[21:27:55]	Lee Maylor ran 'take' on item 'Cooked Bullsquid Meat' (#12511)
[21:27:55]	Lee Maylor has gained a 'Cooked Bullsquid Meat' #12511.
[21:27:57]	Lee Maylor ran 'drop' on item 'Cooked Bullsquid Meat' (#12511)
[21:27:57]	Lee Maylor has lost a 'Cooked Bullsquid Meat' #12511.
[21:28:33]	Lee Maylor used command '/ToggleRaise'.
[21:28:37]	Lee Maylor has spawned a 'NPC [2905][npc_combine_s]'.
[21:28:45]	Lee Maylor has spawned a 'NPC [2905][npc_gman]'.
[21:29:10]	Lee Maylor used command '/ToggleRaise'.
[21:29:10]	Lee Maylor entered observer.
[21:29:11]	Lee Maylor exited observer at their location.
[21:29:29]	Lee Maylor entered observer.
[21:29:31]	Lee Maylor exited observer at their location.
[21:29:31]	Lee Maylor entered observer.
[21:29:59]	Lee Maylor exited observer at their location.
[21:30:00]	Lee Maylor entered observer.
[21:30:03]	Lee Maylor exited observer at their location.
[21:30:06]	Lee Maylor entered observer.
[21:30:16]	Lee Maylor exited observer at their location.
[21:30:24]	Lee Maylor entered observer.
[21:30:25]	Lee Maylor exited observer at their location.
[21:30:32]	matt saton loaded the character 'Jacob Lawson'
[21:30:33]	Jacob Lawson entered observer.
[21:30:39]	Jacob Lawson exited observer at their location.
[21:30:47]	matt saton loaded the character 'An Unknown Voice'
[21:30:49]	An Unknown Voice entered observer.
[21:30:53]	An Unknown Voice exited observer at their location.
[21:30:55]	An Unknown Voice ran 'View' on item 'Notepad' (#12397)
[21:31:00]	An Unknown Voice ran 'take' on item 'Relocation Coupon' (#12420)
[21:31:00]	An Unknown Voice has gained a 'Relocation Coupon' #12420.
[21:31:25]	An Unknown Voice ran 'drop' on item 'Relocation Coupon' (#12420)
[21:31:25]	An Unknown Voice has lost a 'Relocation Coupon' #12420.
[21:31:26]	An Unknown Voice entered observer.
[21:31:33]	An Unknown Voice exited observer at their location.
[21:31:49]	An Unknown Voice has taken 5 damage from An Unknown Voice.
[21:31:49]	An Unknown Voice has gained 10 tokens.
[21:32:00]	An Unknown Voice entered observer.
[21:32:04]	An Unknown Voice exited observer at their location.
[21:32:17]	An Unknown Voice has spawned a 'Entity [254][pfx2_05]'.
[21:32:22]	An Unknown Voice has spawned a 'NPC [2892][npc_gman]'.
[21:32:34]	An Unknown Voice entered observer.
[21:32:37]	An Unknown Voice exited observer at their location.
[21:32:40]	An Unknown Voice entered observer.
[21:32:41]	An Unknown Voice exited observer at their location.
[21:32:42]	An Unknown Voice entered observer.
[21:32:43]	An Unknown Voice exited observer at their location.
[21:32:43]	An Unknown Voice has spawned a 'Entity [254][ix_antlionnest]'.
[21:32:45]	An Unknown Voice entered observer.
[21:32:47]	An Unknown Voice exited observer at their location.
[21:33:00]	An Unknown Voice has spawned a 'NPC [2901][npc_alyx]'.
[21:34:00]	An Unknown Voice has taken 1 damage from worldspawn.
[21:34:00]	An Unknown Voice has taken 1 damage from worldspawn.
[21:34:01]	An Unknown Voice has taken 1 damage from worldspawn.
[21:34:02]	An Unknown Voice has taken 1 damage from worldspawn.
[21:34:03]	An Unknown Voice has taken 1 damage from worldspawn.
[21:34:03]	An Unknown Voice has taken 1 damage from worldspawn.
[21:34:04]	An Unknown Voice has taken 1 damage from worldspawn.
[21:34:05]	An Unknown Voice has taken 1 damage from worldspawn.
[21:34:06]	An Unknown Voice has taken 1 damage from worldspawn.
[21:34:06]	An Unknown Voice has taken 1 damage from worldspawn.
[21:34:07]	An Unknown Voice has taken 1 damage from worldspawn.
[21:34:08]	An Unknown Voice has taken 1 damage from worldspawn.
[21:34:09]	An Unknown Voice has taken 1 damage from worldspawn.
[21:34:09]	An Unknown Voice has taken 1 damage from worldspawn.
[21:34:09]	matt saton loaded the character 'Lee Maylor'
[21:34:11]	Lee Maylor entered observer.
[21:34:12]	Lee Maylor exited observer at their location.
[21:34:21]	Lee Maylor has gained a 'Empty Antlion Grub Vial' #12512.
[21:34:21]	Lee Maylor used command '/CharGiveItem maylor empty antlion'.
[21:34:23]	Lee Maylor ran 'drop' on item 'Empty Antlion Grub Vial' (#12512)
[21:34:23]	Lee Maylor has lost a 'Empty Antlion Grub Vial' #12512.
[21:34:28]	Lee Maylor ran 'take' on item 'Empty Antlion Grub Vial' (#12512)
[21:34:28]	Lee Maylor has gained a 'Empty Antlion Grub Vial' #12512.
[21:34:54]	Lee Maylor has gained a 'Empty Antlion Grub Vial' #12512.
