[22:42:14]	Bett Benneck exited observer at their location.
[22:42:14]	Bett Benneck entered observer.
[22:42:15]	Bett Benneck exited observer at their location.
[22:42:15]	Bett Benneck entered observer.
[22:42:17]	Bett Benneck exited observer at their location.
[22:42:17]	Bett Benneck entered observer.
[22:42:17]	Bett Benneck exited observer at their location.
[22:42:20]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:42:33]	Bett Benneck entered observer.
[22:42:50]	Bett Benneck exited observer at their location.
[22:42:54]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:43:17]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:44:19]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:44:22]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:44:38]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:44:43]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:45:27]	[ME] Bett Benneck: would proceed to tie the individual. Would they resist?
[22:45:38]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:45:48]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:46:04]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:46:09]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:46:20]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:46:24]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:46:27]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:46:32]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:46:56]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:47:08]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:47:59]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:48:10]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:49:18]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:49:21]	Bett Benneck entered observer.
[22:49:25]	Bett Benneck exited observer at their location.
[22:49:32]	Bett Benneck entered observer.
[22:49:50]	Bett Benneck exited observer at their location.
[22:49:55]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:50:10]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:50:23]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:51:01]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:52:47]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:53:11]	Bett Benneck has taken 10 damage from Bett Benneck.
[22:53:49]	Bett Benneck entered observer.
[22:53:53]	Bett Benneck has spawned a 'Entity [3193][ix_testent3]'.
[22:54:51]	Bett Benneck exited observer at their location.
[22:55:04]	Bett Benneck has spawned 'models/hunter/plates/plate075x105.mdl'.
[22:55:11]	Bett Benneck has spawned 'models/hunter/plates/plate05x075.mdl'.
[22:55:14]	Bett Benneck has spawned 'models/hunter/plates/plate05x1.mdl'.
[22:55:18]	Bett Benneck has spawned 'models/hunter/plates/plate075x1.mdl'.
[23:07:25]	Bett Benneck entered observer.
[23:07:25]	Bett Benneck exited observer at their location.
[23:07:36]	Bett Benneck has spawned a 'Entity [3192][ix_testent5]'.
[23:08:08]	Bett Benneck entered observer.
[23:08:13]	Bett Benneck exited observer at their location.
[23:08:13]	Bett Benneck entered observer.
[23:08:14]	Bett Benneck exited observer at their location.
[23:08:25]	Bett Benneck entered observer.
[23:08:29]	Bett Benneck exited observer at their location.
[23:08:29]	Bett Benneck entered observer.
[23:08:30]	Bett Benneck exited observer at their location.
[23:08:42]	Bett Benneck has spawned a 'Entity [1327][ix_testent5]'.
[23:09:51]	Bett Benneck entered observer.
[23:10:02]	Bett Benneck exited observer at their location.
[23:10:07]	Bett Benneck has spawned a 'Entity [3198][ix_testent5]'.
[23:11:20]	Bett Benneck entered observer.
[23:11:29]	Bett Benneck exited observer at their location.
[23:11:32]	Bett Benneck has spawned a 'Entity [3201][ix_testent5]'.
[23:11:35]	Bett Benneck has spawned a 'Entity [3207][ix_testent5]'.
[23:11:37]	Bett Benneck has spawned a 'Entity [3201][ix_testent5]'.
[23:12:57]	Bett Benneck entered observer.
[23:13:20]	Bett Benneck exited observer at their location.
[23:13:23]	Bett Benneck entered observer.
[23:13:23]	Bett Benneck exited observer at their location.
[23:13:25]	Bett Benneck entered observer.
[23:13:25]	Bett Benneck exited observer at their location.
[23:13:25]	Bett Benneck entered observer.
[23:13:27]	Bett Benneck exited observer at their location.
[23:13:30]	Bett Benneck entered observer.
[23:13:33]	Bett Benneck exited observer at their location.
[23:13:35]	Bett Benneck has spawned a 'Entity [3212][ix_testent5]'.
[23:14:00]	Bett Benneck entered observer.
[23:15:03]	Bett Benneck exited observer at their location.
[23:15:15]	Bett Benneck has spawned a 'Entity [3216][ix_testent5]'.
[23:17:15]	Bett Benneck entered observer.
[23:17:19]	Bett Benneck exited observer at their location.
[23:17:23]	Bett Benneck has spawned a 'Entity [3219][ix_testent5]'.
[23:18:49]	Bett Benneck entered observer.
[23:18:50]	Bett Benneck exited observer at their location.
[23:18:50]	Bett Benneck entered observer.
[23:18:51]	Bett Benneck exited observer at their location.
