[11:11:53]	Jorgen_Skog has connected.
[11:13:13]	Jorgen_Skog loaded the character 'PVT Jorgen Marventsky'
[11:13:26]	Jorgen_Skog loaded the character 'Stefan Adrovich'
[11:15:44]	Jorgen_Skog (STEAM_0:1:115897813) has disconnected.
[14:24:31]	lucxsfregossi has connected.
[14:27:04]	lucxsfregossi (STEAM_0:1:179935935) has disconnected.
[15:49:28]	Odin has connected.
[15:50:45]	Odin loaded the character 'Erwin Ramstein'
[15:51:04]	Odin (STEAM_0:0:595064043) has disconnected.
