[11:24:16]	matt saton has connected.
[12:09:48]	matt saton (STEAM_0:1:53097688) has disconnected.
[12:13:51]	rat has connected.
[12:16:55]	rat created the character 'Alex Martinez'
[12:16:55]	Alex Martinez has gained a 'Suitcase' #12504.
[12:16:55]	Alex Martinez has gained a 'Relocation Coupon' #12505.
[12:16:55]	Alex Martinez has gained a 'Cyclopic Citizen Suit' #12506.
[12:16:55]	Alex Martinez has gained a 'Citizen Filter' #12507.
[12:16:56]	rat loaded the character 'Alex Martinez'
[12:17:13]	Alex Martinez ran 'Equip' on item 'Cyclopic Citizen Suit' (#12506)
[12:17:15]	Alex Martinez ran 'equip' on item 'Citizen Filter' (#12507)
[12:17:42]	Alex Martinez has taken 5 damage from Alex Martinez.
[12:17:42]	Alex Martinez has gained 10 tokens.
[12:18:18]	Alex Martinez ran 'View' on item 'Paper' (#11097)
[12:18:27]	Alex Martinez has taken 250 damage from trigger_hurt.
[12:18:27]	trigger_hurt has killed Alex Martinez.
[12:18:49]	Alex Martinez ran 'take' on item 'Consulate Water' (#12423)
[12:18:49]	Alex Martinez has gained a 'Consulate Water' #12423.
[12:18:57]	Alex Martinez has taken 250 damage from trigger_hurt.
[12:18:57]	trigger_hurt has killed Alex Martinez.
[12:19:14]	Alex Martinez has taken 250 damage from trigger_hurt.
[12:19:14]	trigger_hurt has killed Alex Martinez.
[12:19:24]	Alex Martinez has taken 250 damage from trigger_hurt.
[12:19:24]	trigger_hurt has killed Alex Martinez.
[12:20:42]	Alex Martinez ran 'drop' on item 'Suitcase' (#12504)
[12:20:42]	Alex Martinez has lost a 'Suitcase' #12504.
[12:21:37]	Alex Martinez ran 'take' on item 'Suitcase' (#12504)
[12:21:37]	Alex Martinez has gained a 'Suitcase' #12504.
[12:21:58]	Alex Martinez opened the '' #1233 container.
[12:22:00]	Alex Martinez closed the '' #1233 container.
[12:23:17]	Alex Martinez used the 'Shady Salesman' vendor.
[12:24:59]	Alex Martinez has taken 15 damage from npc_barnacle.
[12:25:01]	Alex Martinez has taken 15 damage from npc_barnacle.
[12:25:02]	Alex Martinez has taken 15 damage from npc_barnacle.
[12:25:03]	Alex Martinez has taken 15 damage from npc_barnacle.
[12:25:05]	Alex Martinez has taken 15 damage from npc_barnacle.
[12:25:25]	Alex Martinez has taken 5 damage from npc_headcrab.
[12:28:11]	Alex Martinez ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#12506)
[12:28:56]	Alex Martinez has taken 1 damage from worldspawn.
[12:28:56]	Alex Martinez has taken 1 damage from worldspawn.
[12:28:57]	Alex Martinez has taken 1 damage from worldspawn.
[12:28:58]	Alex Martinez ran 'Equip' on item 'Cyclopic Citizen Suit' (#12506)
[12:29:49]	Alex Martinez opened the '' #1027 container.
[12:29:50]	Alex Martinez closed the '' #1027 container.
[12:30:45]	rat (STEAM_0:1:92083594) has disconnected.
