[04:47:25]	James Albright has spawned 'models/props_lab/teleportring.mdl'.
[04:47:30]	James Albright has spawned 'models/props_lab/scanner3_scrapyard.mdl'.
[04:47:31]	James Albright has spawned 'models/props_lab/teleportring.mdl'.
[04:47:32]	James Albright has spawned 'models/props_lab/scanner1_scrapyard.mdl'.
[04:47:36]	James Albright entered observer.
[04:47:38]	James Albright has spawned 'models/props_lab/scanner2_scrapyard.mdl'.
[04:47:41]	James Albright has spawned 'models/props_lab/scanner3_scrapyard.mdl'.
[04:47:42]	James Albright has spawned 'models/props_lab/scanner4_scrapyard.mdl'.
[04:47:47]	James Albright has spawned 'models/props_lab/generatortube.mdl'.
[04:47:49]	James Albright has spawned 'models/props_lab/generator.mdl'.
[04:47:50]	James Albright exited observer at their location.
[04:48:24]	James Albright has spawned 'models/props_lab/generatortube.mdl'.
[04:49:14]	James Albright has spawned 'models/props_lab/crystalbulk.mdl'.
[04:49:17]	James Albright has spawned 'models/props_lab/cornerunit2.mdl'.
[04:49:23]	James Albright has spawned 'models/props_lab/cornerunit.mdl'.
[04:49:30]	James Albright has spawned 'models/props_lab/labturret.mdl'.
[04:49:32]	James Albright has spawned 'models/props_lab/labpart.mdl'.
[04:49:33]	James Albright has spawned 'models/props_lab/hev_machine.mdl'.
[04:49:55]	James Albright has spawned 'models/props_lab/generator.mdl'.
[04:49:55]	James Albright entered observer.
[04:49:59]	James Albright exited observer at their location.
[04:50:03]	James Albright has spawned 'models/props_lab/cornerunit.mdl'.
[04:50:05]	James Albright has spawned 'models/props_lab/teleplatform.mdl'.
[04:50:07]	James Albright has spawned 'models/props_lab/soupprep.mdl'.
[04:50:08]	James Albright has spawned 'models/props_lab/soupprep.mdl'.
[04:50:10]	James Albright has spawned 'models/props_lab/teleportring.mdl'.
[04:50:11]	James Albright has spawned 'models/props_lab/scanner4_scrapyard.mdl'.
[04:50:16]	James Albright has spawned 'models/props_lab/hl1teleport.mdl'.
[04:50:17]	James Albright entered observer.
[04:50:21]	James Albright has spawned 'models/props_lab/hl1teleport.mdl'.
[04:50:39]	James Albright has spawned 'models/props_lab/handrail01_long_stairwell01.mdl'.
[04:50:41]	James Albright has spawned 'models/props_lab/crystalholder_crystal.mdl'.
[04:50:42]	James Albright has spawned 'models/props_lab/crystalbulk.mdl'.
[04:50:45]	James Albright has spawned 'models/props_lab/cornerunit2.mdl'.
[04:50:57]	James Albright exited observer at their location.
[04:50:58]	James Albright entered observer.
[04:51:02]	James Albright exited observer at their location.
[04:51:08]	James Albright entered observer.
[04:51:09]	James Albright exited observer at their location.
[04:51:48]	James Albright entered observer.
[04:51:48]	James Albright exited observer at their location.
[04:51:51]	James Albright entered observer.
[04:51:53]	James Albright exited observer at their location.
[04:53:04]	James Albright has spawned 'models/props_lab/ladderset.mdl'.
[04:53:07]	James Albright has spawned 'models/props_lab/ladderset.mdl'.
[04:53:10]	James Albright has spawned 'models/props_lab/ladel.mdl'.
[04:53:10]	James Albright has spawned 'models/props_lab/ladderset.mdl'.
[04:53:13]	James Albright has spawned 'models/props_lab/ladderset.mdl'.
[04:53:19]	James Albright has spawned 'models/props_lab/workspace001.mdl'.
[04:53:20]	James Albright entered observer.
[04:53:22]	James Albright has spawned 'models/props_lab/workspace002.mdl'.
[04:53:27]	James Albright exited observer at their location.
[04:53:37]	James Albright has spawned 'models/props_lab/workspace003.mdl'.
[04:53:41]	James Albright has spawned 'models/props_lab/workspace001.mdl'.
[04:53:54]	James Albright has spawned 'models/props_lab/workspace002.mdl'.
[04:53:55]	James Albright entered observer.
[04:54:13]	James Albright exited observer at their location.
[04:54:13]	James Albright entered observer.
[04:54:30]	James Albright exited observer at their location.
[04:54:30]	James Albright entered observer.
[04:54:31]	James Albright exited observer at their location.
[04:54:34]	James Albright entered observer.
[04:54:34]	James Albright exited observer at their location.
[04:54:34]	James Albright entered observer.
[04:54:35]	James Albright exited observer at their location.
[04:54:45]	James Albright entered observer.
[04:55:04]	James Albright exited observer at their location.
[04:55:18]	James Albright has spawned 'models/props_lab/tpswitch.mdl'.
[04:55:24]	James Albright has spawned 'models/props_lab/generator.mdl'.
[04:55:25]	James Albright entered observer.
[04:55:27]	James Albright exited observer at their location.
[04:55:28]	James Albright has spawned 'models/props_lab/generatorconsole.mdl'.
[04:55:29]	James Albright has spawned 'models/props_lab/generator.mdl'.
[04:55:30]	James Albright has spawned 'models/props_lab/generatorconsole.mdl'.
[04:55:31]	James Albright has spawned 'models/props_lab/generatorconsole.mdl'.
[04:55:34]	James Albright has spawned 'models/props_lab/generator.mdl'.
[04:55:53]	James Albright entered observer.
[04:55:56]	James Albright exited observer at their location.
[04:55:59]	James Albright has spawned 'models/props_lab/miniteleport.mdl'.
[04:56:01]	James Albright has spawned 'models/props_lab/miniteleport.mdl'.
[04:56:07]	James Albright has spawned 'models/props_lab/ravendoor.mdl'.
[04:56:18]	James Albright has spawned 'models/props_lab/hev_machine.mdl'.
[04:56:20]	James Albright entered observer.
[04:56:21]	James Albright exited observer at their location.
[04:56:21]	James Albright entered observer.
[04:56:22]	James Albright exited observer at their location.
[04:56:24]	James Albright entered observer.
[04:56:26]	James Albright exited observer at their location.
[04:56:27]	James Albright entered observer.
[04:56:27]	James Albright exited observer at their location.
[04:56:27]	James Albright entered observer.
[04:56:29]	James Albright exited observer at their location.
[04:56:30]	James Albright entered observer.
[04:56:30]	James Albright exited observer at their location.
[04:56:36]	James Albright entered observer.
[04:56:38]	James Albright exited observer at their location.
[04:57:05]	James Albright entered observer.
[04:57:16]	James Albright exited observer at their location.
[04:57:22]	James Albright has spawned 'models/props_lab/hev_case.mdl'.
[04:57:38]	James Albright entered observer.
[04:57:39]	James Albright exited observer at their location.
[04:57:42]	James Albright entered observer.
[04:57:44]	James Albright exited observer at their location.
[04:57:49]	James Albright entered observer.
[04:57:54]	James Albright exited observer at their location.
[04:58:08]	James Albright has spawned 'models/props_lab/generatorconsole.mdl'.
[04:58:43]	James Albright has spawned 'models/props_lab/securitybank.mdl'.
[04:58:45]	James Albright has spawned 'models/props_lab/servers.mdl'.
[04:58:51]	James Albright has spawned 'models/props_lab/workspace003.mdl'.
[04:59:06]	James Albright has taken 5 damage from James Albright.
[04:59:11]	James Albright has spawned 'models/props_lab/generatortube.mdl'.
[05:00:58]	James Albright has spawned 'models/props_lab/airlockscanner.mdl'.
[05:01:00]	James Albright has spawned 'models/props_lab/airlockscanner.mdl'.
[05:01:09]	James Albright has spawned 'models/props_lab/labpart.mdl'.
[05:01:16]	James Albright has spawned 'models/props_lab/hl1teleport.mdl'.
[05:01:18]	James Albright has spawned 'models/props_lab/generatorhose.mdl'.
[05:01:21]	James Albright has spawned 'models/props_lab/lab_flourescentlight001b.mdl'.
[05:01:24]	James Albright has spawned 'models/props_lab/walllight001a.mdl'.
[05:01:31]	James Albright has spawned 'models/props_lab/dogobject_wood_crate001a_damagedmax.mdl'.
[05:01:46]	James Albright has spawned 'models/props_lab/hl1teleport.mdl'.
[05:01:47]	James Albright entered observer.
[05:01:54]	James Albright has spawned 'models/props_lab/handrail01_long_stairwell01.mdl'.
[05:01:57]	James Albright has spawned 'models/props_lab/pipesystem02a.mdl'.
[05:02:02]	James Albright has spawned 'models/props_lab/scanner4_scrapyard.mdl'.
[05:02:05]	James Albright exited observer at their location.
[05:02:19]	James Albright has spawned 'models/props_lab/monitor02.mdl'.
[05:02:37]	James Albright has spawned 'models/props_lab/harddrive02.mdl'.
[05:03:11]	James Albright has spawned 'models/props_c17/computer01_keyboard.mdl'.
[05:03:46]	James Albright has spawned 'models/props_lab/plotter.mdl'.
[05:03:52]	James Albright entered observer.
[05:04:13]	James Albright exited observer at their location.
[05:04:27]	James Albright has spawned 'models/props_lab/corkboard001.mdl'.
[05:04:28]	James Albright has spawned 'models/props_lab/corkboard001.mdl'.
[05:04:42]	James Albright has spawned 'models/props_lab/corkboard002.mdl'.
[05:05:11]	James Albright has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[05:05:50]	James Albright has spawned 'models/props_lab/partsbin01.mdl'.
[05:05:53]	James Albright has spawned 'models/props_lab/partsbin01.mdl'.
[05:06:07]	James Albright has spawned 'models/props_lab/desklamp01.mdl'.
[05:06:28]	James Albright entered observer.
[05:06:43]	James Albright has spawned 'models/props_lab/clipboard.mdl'.
[05:07:34]	James Albright exited observer at their location.
[05:12:42]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
[14:31:06]	matt saton has connected.
[14:31:53]	matt saton loaded the character 'Joseph Kimsler'
[14:31:54]	Joseph Kimsler entered observer.
[14:31:57]	Joseph Kimsler exited observer at their location.
[14:31:58]	Joseph Kimsler entered observer.
[14:31:58]	Joseph Kimsler exited observer at their location.
[14:32:02]	matt saton loaded the character 'UU-SeC.14'
[14:32:08]	UU-SeC.17 used command '/CharSetName sec UU-SeC.17'.
[14:32:09]	UU-SeC.17 entered observer.
[14:32:09]	UU-SeC.17 exited observer at their location.
[14:32:11]	UU-SeC.17 entered observer.
[14:32:17]	matt saton loaded the character 'Joseph Kimsler'
[14:32:20]	Joseph Kimsler entered observer.
[14:32:49]	Joseph Kimsler exited observer at their location.
[14:32:49]	Joseph Kimsler entered observer.
[14:32:50]	Joseph Kimsler exited observer at their location.
[14:32:50]	Joseph Kimsler entered observer.
[14:32:51]	Joseph Kimsler exited observer at their location.
[14:32:55]	Joseph Kimsler entered observer.
[14:33:45]	Joseph Kimsler exited observer at their location.
[14:33:45]	Joseph Kimsler entered observer.
[14:36:49]	Joseph Kimsler exited observer at their location.
[14:36:50]	Joseph Kimsler entered observer.
[14:36:50]	Joseph Kimsler exited observer at their location.
[14:36:53]	Joseph Kimsler has taken 126 damage from worldspawn.
[14:36:58]	Joseph Kimsler entered observer.
[14:37:01]	Joseph Kimsler exited observer at their location.
[14:37:01]	Joseph Kimsler has spawned a 'NPC [989][npc_metropolice]'.
[14:37:03]	Joseph Kimsler has taken 3 damage from npc_metropolice.
