[11:10:34]	matt saton has connected.
[11:11:50]	matt saton loaded the character 'Lee Maylor'
[11:11:51]	Lee Maylor entered observer.
[11:14:18]	Lee Maylor exited observer at their location.
[11:14:18]	Lee Maylor entered observer.
[11:14:20]	Lee Maylor exited observer at their location.
[11:14:21]	Lee Maylor entered observer.
[11:18:16]	Lee Maylor ran 'take' on item 'Suitcase' (#9740)
[11:18:16]	Lee Maylor has gained a 'Suitcase' #9740.
[11:18:18]	Lee Maylor ran 'drop' on item 'Suitcase' (#9740)
[11:18:18]	Lee Maylor has lost a 'Suitcase' #9740.
[11:18:19]	Lee Maylor ran 'take' on item 'Suitcase' (#10213)
[11:18:19]	Lee Maylor has gained a 'Suitcase' #10213.
[11:18:20]	Lee Maylor ran 'drop' on item 'Suitcase' (#10213)
[11:18:20]	Lee Maylor has lost a 'Suitcase' #10213.
[11:19:00]	Lee Maylor exited observer at their location.
[11:19:01]	Lee Maylor entered observer.
[11:19:09]	Lee Maylor exited observer at their location.
[11:19:10]	Lee Maylor entered observer.
[11:19:11]	Lee Maylor exited observer at their location.
[11:19:30]	Lee Maylor entered observer.
[11:19:38]	Lee Maylor exited observer at their location.
[11:19:39]	Lee Maylor entered observer.
[11:19:40]	Lee Maylor exited observer at their location.
[11:19:41]	Lee Maylor has taken 11 damage from worldspawn.
[11:19:42]	Lee Maylor entered observer.
[11:25:13]	Lee Maylor exited observer at their location.
[11:25:18]	Lee Maylor entered observer.
[11:29:10]	Lee Maylor exited observer at their location.
[11:29:12]	Lee Maylor entered observer.
[11:29:32]	Lee Maylor exited observer at their location.
[11:29:33]	Lee Maylor entered observer.
[11:29:36]	Lee Maylor exited observer at their location.
[11:29:37]	Lee Maylor entered observer.
[11:29:49]	Lee Maylor exited observer at their location.
[11:29:50]	Lee Maylor entered observer.
[11:29:52]	Lee Maylor exited observer at their location.
[11:29:54]	Lee Maylor entered observer.
[11:29:56]	Lee Maylor exited observer at their location.
[11:33:07]	Lee Maylor entered observer.
[11:33:30]	Lee Maylor exited observer at their location.
[11:33:31]	Lee Maylor entered observer.
[11:33:32]	Lee Maylor exited observer at their location.
[11:33:32]	Lee Maylor entered observer.
[11:33:42]	Lee Maylor exited observer at their location.
[11:33:44]	Lee Maylor entered observer.
[11:47:50]	Lee Maylor exited observer at their location.
[11:47:50]	Lee Maylor entered observer.
[12:02:06]	Lee Maylor exited observer at their location.
[12:02:06]	Lee Maylor entered observer.
[12:02:07]	Lee Maylor exited observer at their location.
[12:02:07]	Lee Maylor entered observer.
[12:02:10]	Lee Maylor exited observer at their location.
[12:02:10]	Lee Maylor entered observer.
[12:02:10]	Lee Maylor exited observer at their location.
[12:02:11]	Lee Maylor entered observer.
[12:02:12]	Lee Maylor exited observer at their location.
[12:02:17]	Lee Maylor entered observer.
[12:02:18]	Lee Maylor exited observer at their location.
[12:02:19]	Lee Maylor entered observer.
[12:02:42]	Lee Maylor exited observer at their location.
[12:02:43]	Lee Maylor entered observer.
[12:02:43]	Lee Maylor exited observer at their location.
[12:02:45]	Lee Maylor entered observer.
[12:02:46]	Lee Maylor exited observer at their location.
[12:02:47]	Lee Maylor entered observer.
[12:02:49]	Lee Maylor exited observer at their location.
[12:02:50]	Lee Maylor entered observer.
[12:02:51]	Lee Maylor exited observer at their location.
[12:02:52]	Lee Maylor entered observer.
[12:02:53]	Lee Maylor exited observer at their location.
[12:02:53]	Lee Maylor entered observer.
[12:02:53]	Lee Maylor exited observer at their location.
[12:02:54]	Lee Maylor entered observer.
[12:02:55]	Lee Maylor exited observer at their location.
[12:02:56]	Lee Maylor entered observer.
[12:02:56]	Lee Maylor exited observer at their location.
[12:02:56]	Lee Maylor entered observer.
[12:02:57]	Lee Maylor exited observer at their location.
[12:02:58]	Lee Maylor entered observer.
[12:02:59]	Lee Maylor exited observer at their location.
[12:02:59]	Lee Maylor entered observer.
[12:03:00]	Lee Maylor exited observer at their location.
[12:03:01]	Lee Maylor entered observer.
[12:03:03]	Lee Maylor exited observer at their location.
[12:03:05]	Lee Maylor entered observer.
[12:03:11]	Lee Maylor exited observer at their location.
[12:03:12]	Lee Maylor has taken 2 damage from Lee Maylor.
[12:03:13]	Lee Maylor entered observer.
[12:03:15]	Lee Maylor exited observer at their location.
[12:03:16]	Lee Maylor entered observer.
[12:03:19]	Lee Maylor exited observer at their location.
[12:03:21]	Lee Maylor has taken 98 damage from worldspawn.
[12:03:21]	worldspawn has killed Lee Maylor.
[12:03:32]	Lee Maylor used command '/CharSetThirst lee 100'.
[12:03:36]	Lee Maylor used command '/CharSetHunger lee 100'.
[12:03:37]	Lee Maylor entered observer.
[15:44:01]	Lee Maylor used command '/ToggleRaise'.
[15:44:02]	Lee Maylor used command '/ToggleRaise'.
[15:44:05]	Lee Maylor exited observer at their location.
[16:02:40]	Lee Maylor entered observer.
[16:02:41]	Lee Maylor exited observer at their location.
[16:22:05]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:06]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:07]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:08]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:08]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:09]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:10]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:11]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:11]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:12]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:13]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:14]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:14]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:15]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:16]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:17]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:17]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:18]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:19]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:20]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:20]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:21]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:22]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:23]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:23]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:24]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:25]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:26]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:26]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:27]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:28]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:29]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:30]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:30]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:31]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:32]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:33]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:33]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:34]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:35]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:36]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:36]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:37]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:38]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:39]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:39]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:40]	Lee Maylor has taken 1 damage from worldspawn.
[16:22:41]	Lee Maylor has taken 1 damage from worldspawn.
