[15:12:46]	CCA.C17-UNION.i5.94233 has gained 0 tokens.
[15:12:46]	CCA.C17-UNION.i5.94233 has gained a 'Human Science Rat Poster' #37991.
[15:12:47]	CCA.C17-UNION.i5.94233 has gained 0 tokens.
[15:12:47]	CCA.C17-UNION.i5.94233 has gained a 'Human Science Rat Poster' #37992.
[15:12:52]	CCA.C17-UNION.i5.94233 ran 'drop' on item 'Human Science Rat Poster' (#37991)
[15:12:52]	CCA.C17-UNION.i5.94233 has lost a 'Human Science Rat Poster' #37991.
[15:12:54]	CCA.C17-UNION.i5.94233 ran 'drop' on item 'Human Science Rat Poster' (#37992)
[15:12:54]	CCA.C17-UNION.i5.94233 has lost a 'Human Science Rat Poster' #37992.
[15:12:56]	CCA.C17-UNION.i5.94233 used the 'Box of Posters' vendor.
[15:12:58]	CCA.C17-UNION.i5.94233 has gained 0 tokens.
[15:12:58]	CCA.C17-UNION.i5.94233 has gained a 'Cremator Poster' #37993.
[15:13:02]	CCA.C17-UNION.i5.94233 ran 'drop' on item 'Cremator Poster' (#37993)
[15:13:02]	CCA.C17-UNION.i5.94233 has lost a 'Cremator Poster' #37993.
[15:13:35]	[ME] Jonathan Jackson: takes his hands out of his pocket, and grabs the posters.
[15:13:39]	Jonathan Jackson ran 'take' on item 'Human Science Rat Poster' (#37991)
[15:13:39]	Jonathan Jackson has gained a 'Human Science Rat Poster' #37991.
[15:13:40]	Jonathan Jackson ran 'take' on item 'Human Science Rat Poster' (#37992)
[15:13:40]	Jonathan Jackson has gained a 'Human Science Rat Poster' #37992.
[15:13:41]	Jonathan Jackson ran 'take' on item 'Cremator Poster' (#37993)
[15:13:41]	Jonathan Jackson has gained a 'Cremator Poster' #37993.
[15:14:39]	[OOC] Jonathan Jackson: I hear that illegal man
[15:14:55]	[OOC] CCA.C17-UNION.i5.94233: he triggered the camera
[15:14:57]	[OOC] CCA.C17-UNION.i5.94233: in the CZ
[15:15:04]	CCA.C17-UNION.i5.94233 used command '/Radio 63'.
[15:15:08]	[OOC] Jefferson Jackson: i got 4 more pipes
[15:15:11]	Jonathan Jackson ran 'Equip' on item 'Green Citizen Suit' (#28351)
[15:15:34]	Jonathan Jackson destroyed a 'Boot' #37587.
[15:15:56]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[15:16:05]	Jonathan Jackson opened the 'Metal Cabinet' #2810 container.
[15:16:08]	Jonathan Jackson closed the 'Metal Cabinet' #2810 container.
[15:16:11]	Jonathan Jackson ran 'EquipUn' on item 'CWU Commerce Shirt' (#32446)
[15:16:11]	Jefferson Jackson ran 'drop' on item 'Pipe' (#31440)
[15:16:11]	Jefferson Jackson has lost a 'Pipe' #31440.
[15:16:11]	Jefferson Jackson ran 'drop' on item 'Pipe' (#37983)
[15:16:11]	Jefferson Jackson has lost a 'Pipe' #37983.
[15:16:12]	Jonathan Jackson ran 'EquipUn' on item 'Gray Jeans' (#32445)
[15:16:12]	Jefferson Jackson ran 'drop' on item 'Pipe' (#37471)
[15:16:12]	Jefferson Jackson has lost a 'Pipe' #37471.
[15:16:13]	Jefferson Jackson ran 'drop' on item 'Pipe' (#37666)
[15:16:13]	Jefferson Jackson has lost a 'Pipe' #37666.
[15:16:14]	Jonathan Jackson ran 'EquipUn' on item 'Green Citizen Suit' (#28351)
[15:16:15]	Jonathan Jackson ran 'Equip' on item 'CWU Commerce Shirt' (#32446)
[15:16:16]	Jonathan Jackson ran 'EquipUn' on item 'CWU Commerce Shirt' (#32446)
[15:16:17]	Jonathan Jackson ran 'Equip' on item 'Gray Jeans' (#32445)
[15:16:18]	Jonathan Jackson ran 'EquipUn' on item 'Gray Jeans' (#32445)
[15:16:19]	Jonathan Jackson opened the 'Large Refrigerator' #2808 container.
[15:16:25]	Jonathan Jackson has gained a 'Reinforced Citizen Shirt' #33609.
[15:16:29]	Jonathan Jackson closed the 'Large Refrigerator' #2808 container.
[15:16:31]	Jonathan Jackson ran 'Equip' on item 'Reinforced Citizen Shirt' (#33609)
[15:16:33]	Jonathan Jackson ran 'Equip' on item 'Green Citizen Suit' (#28351)
[15:16:35]	Jefferson Jackson ran 'drop' on item 'Empty Tin Can' (#37971)
[15:16:35]	Jefferson Jackson has lost a 'Empty Tin Can' #37971.
[15:16:35]	Jefferson Jackson ran 'drop' on item 'Empty Sparkling Consulate Water Can' (#37824)
[15:16:35]	Jefferson Jackson has lost a 'Empty Sparkling Consulate Water Can' #37824.
[15:16:36]	Jefferson Jackson ran 'drop' on item 'Empty Sparkling Consulate Water Can' (#37828)
[15:16:36]	Jefferson Jackson has lost a 'Empty Sparkling Consulate Water Can' #37828.
[15:16:41]	Jefferson Jackson ran 'drop' on item 'Pliers' (#37977)
[15:16:41]	Jefferson Jackson has lost a 'Pliers' #37977.
[15:16:46]	Jefferson Jackson ran 'drop' on item 'Fingerless Gloves' (#37982)
[15:16:46]	Jefferson Jackson has lost a 'Fingerless Gloves' #37982.
[15:17:32]	CCA.C17-UNION.i5.94233 used command '/CharSearch'.
[15:17:36]	Jonathan Jackson destroyed a 'Empty Paint Can' #37990.
[15:17:37]	Jonathan Jackson destroyed a 'AA Battery' #30480.
[15:18:03]	[ME] CCA.C17-UNION.i5.94233: Would start rummaging through his shit throwing stuff around
[15:18:06]	Jonathan Jackson ran 'View' on item 'Notepad' (#36565)
[15:18:27]	Jonathan Jackson ran 'Edit' on item 'Notepad' (#29210)
[15:18:30]	Jonathan Jackson ran 'take' on item 'Notepad' (#29210)
[15:18:30]	Jonathan Jackson has gained a 'Notepad' #29210.
[15:18:32]	Jonathan Jackson ran 'Edit' on item 'Notepad' (#29210)
[15:18:36]	Jefferson Jackson opened the 'Padlocked Refrigerator' #2408 container.
[15:18:39]	Jefferson Jackson closed the 'Padlocked Refrigerator' #2408 container.
[15:18:39]	Jefferson Jackson opened the 'Padlocked Refrigerator' #2408 container.
[15:18:44]	Jefferson Jackson closed the 'Padlocked Refrigerator' #2408 container.
[15:18:49]	CCA.C17-UNION.i5.94233 opened the 'Padlocked Refrigerator' #2408 container.
[15:18:50]	CCA.C17-UNION.i5.94233 closed the 'Padlocked Refrigerator' #2408 container.
[15:18:51]	Jefferson Jackson opened the 'Padlocked Refrigerator' #2408 container.
[15:18:53]	Jefferson Jackson closed the 'Padlocked Refrigerator' #2408 container.
