[09:22:52]	matt saton has connected.
[09:25:48]	matt saton loaded the character 'Lee Maylor'
[09:25:50]	Lee Maylor entered observer.
[09:25:51]	Lee Maylor exited observer at their location.
[09:25:51]	Lee Maylor used command '/DoorSetHidden false'.
[09:25:52]	Lee Maylor used command '/DoorSetHidden false'.
[09:26:30]	Lee Maylor used command '/CharFallOver 0.01'.
[09:26:43]	Lee Maylor used command '/DoorSetHidden false'.
[09:26:50]	Lee Maylor entered observer.
[09:26:50]	Lee Maylor exited observer at their location.
[09:26:50]	Lee Maylor used command '/DoorSetHidden false'.
[09:26:51]	Lee Maylor used command '/DoorSetHidden false'.
[09:27:01]	Lee Maylor used command '/DoorSetHidden false'.
[09:27:02]	Lee Maylor used command '/DoorSetHidden false'.
[09:27:07]	Lee Maylor used command '/CharFallOver 0.1'.
[09:27:11]	Lee Maylor entered observer.
[09:27:13]	Lee Maylor exited observer at their location.
[09:27:15]	Lee Maylor used command '/CharFallOver 0.1'.
[09:27:20]	Lee Maylor used command '/CharFallOver 0.1'.
[09:27:23]	Lee Maylor used command '/CharFallOver 0.1'.
[09:27:28]	Lee Maylor entered observer.
[09:27:29]	Lee Maylor exited observer at their location.
[09:27:30]	Lee Maylor used command '/CharFallOver 0.1'.
[09:27:34]	Lee Maylor used command '/CharFallOver 0.1'.
[09:27:38]	Lee Maylor used command '/CharFallOver 0.1'.
[09:27:43]	Lee Maylor entered observer.
[09:27:45]	Lee Maylor exited observer at their location.
[09:27:46]	Lee Maylor used command '/CharFallOver 0.1'.
[09:27:50]	Lee Maylor used command '/CharFallOver 0.1'.
[09:27:54]	Lee Maylor used command '/CharFallOver 0.1'.
[09:27:57]	Lee Maylor entered observer.
[09:27:57]	Lee Maylor exited observer at their location.
[09:27:58]	Lee Maylor entered observer.
[09:27:59]	Lee Maylor exited observer at their location.
[09:27:59]	Lee Maylor entered observer.
[09:28:00]	Lee Maylor exited observer at their location.
[09:28:02]	Lee Maylor entered observer.
[09:28:19]	Lee Maylor used command '/ToggleRaise'.
[09:28:20]	Lee Maylor used command '/ToggleRaise'.
[09:31:48]	Lee Maylor exited observer at their location.
[09:31:48]	Lee Maylor entered observer.
[09:31:48]	Lee Maylor exited observer at their location.
[09:31:48]	Lee Maylor entered observer.
[09:31:49]	Lee Maylor exited observer at their location.
[09:31:49]	Lee Maylor entered observer.
[09:31:50]	Lee Maylor exited observer at their location.
[09:31:51]	Lee Maylor entered observer.
[09:31:51]	Lee Maylor exited observer at their location.
[09:31:51]	Lee Maylor entered observer.
[09:31:52]	Lee Maylor exited observer at their location.
[09:31:52]	Lee Maylor entered observer.
[09:31:54]	Lee Maylor exited observer at their location.
[09:31:55]	Lee Maylor entered observer.
[09:31:57]	Lee Maylor exited observer at their location.
[09:31:58]	Lee Maylor entered observer.
[09:31:58]	Lee Maylor exited observer at their location.
[09:31:59]	Lee Maylor entered observer.
[09:31:59]	Lee Maylor exited observer at their location.
[09:32:00]	Lee Maylor entered observer.
[09:32:00]	Lee Maylor exited observer at their location.
[09:32:01]	Lee Maylor entered observer.
[09:32:01]	Lee Maylor exited observer at their location.
[09:32:02]	Lee Maylor entered observer.
[09:32:02]	Lee Maylor exited observer at their location.
[09:32:04]	Lee Maylor entered observer.
[09:32:10]	Lee Maylor exited observer at their location.
[09:32:10]	Lee Maylor entered observer.
[09:32:10]	Lee Maylor exited observer at their location.
[09:32:11]	Lee Maylor entered observer.
[09:32:11]	Lee Maylor exited observer at their location.
[09:32:12]	Lee Maylor entered observer.
[09:32:12]	Lee Maylor exited observer at their location.
[09:32:13]	Lee Maylor entered observer.
[09:32:14]	Lee Maylor exited observer at their location.
[09:32:14]	Lee Maylor entered observer.
[09:32:15]	Lee Maylor exited observer at their location.
[09:32:16]	Lee Maylor entered observer.
[09:32:16]	Lee Maylor exited observer at their location.
[09:32:19]	Lee Maylor entered observer.
[09:32:20]	Lee Maylor exited observer at their location.
[09:32:20]	Lee Maylor entered observer.
[09:32:20]	Lee Maylor exited observer at their location.
[09:32:21]	Lee Maylor entered observer.
[09:32:22]	Lee Maylor exited observer at their location.
[09:32:22]	Lee Maylor entered observer.
[09:32:23]	Lee Maylor exited observer at their location.
[09:32:24]	Lee Maylor entered observer.
[09:32:25]	Lee Maylor exited observer at their location.
[09:32:26]	Lee Maylor entered observer.
[09:32:26]	Lee Maylor exited observer at their location.
[09:32:27]	Lee Maylor entered observer.
[09:32:27]	Lee Maylor exited observer at their location.
[09:32:28]	Lee Maylor entered observer.
[09:32:28]	Lee Maylor exited observer at their location.
[09:32:29]	Lee Maylor entered observer.
[09:32:29]	Lee Maylor exited observer at their location.
[09:32:29]	Lee Maylor entered observer.
[09:32:30]	Lee Maylor exited observer at their location.
[09:32:30]	Lee Maylor entered observer.
[09:32:31]	Lee Maylor exited observer at their location.
[09:32:33]	Lee Maylor entered observer.
[09:32:33]	Lee Maylor exited observer at their location.
[09:32:34]	Lee Maylor entered observer.
[09:32:35]	Lee Maylor exited observer at their location.
[09:32:35]	Lee Maylor entered observer.
[09:32:36]	Lee Maylor exited observer at their location.
[09:32:37]	Lee Maylor entered observer.
[09:32:37]	Lee Maylor exited observer at their location.
[09:32:38]	Lee Maylor entered observer.
[09:32:39]	Lee Maylor exited observer at their location.
[09:32:39]	Lee Maylor entered observer.
[09:32:41]	Lee Maylor exited observer at their location.
[09:32:41]	Lee Maylor entered observer.
[09:32:42]	Lee Maylor exited observer at their location.
[09:32:42]	Lee Maylor entered observer.
[09:46:05]	Lee Maylor exited observer at their location.
[09:46:15]	Lee Maylor entered observer.
[09:46:17]	Lee Maylor exited observer at their location.
[09:46:18]	Lee Maylor entered observer.
[09:46:19]	Lee Maylor exited observer at their location.
[09:46:19]	Lee Maylor entered observer.
[09:46:20]	Lee Maylor exited observer at their location.
[09:46:24]	Lee Maylor entered observer.
[09:46:45]	Lee Maylor exited observer at their location.
[09:46:45]	Lee Maylor entered observer.
[09:46:47]	Lee Maylor exited observer at their location.
[09:47:02]	Lee Maylor entered observer.
[09:47:05]	Lee Maylor exited observer at their location.
[09:47:06]	Lee Maylor entered observer.
[09:47:07]	Lee Maylor exited observer at their location.
[09:47:07]	Lee Maylor entered observer.
[09:47:08]	Lee Maylor exited observer at their location.
[09:47:09]	Lee Maylor used command '/CharFallOver 0.1'.
[09:47:20]	Lee Maylor entered observer.
[09:47:20]	Lee Maylor exited observer at their location.
[09:47:23]	Lee Maylor used command '/CharFallOver 0.1'.
[09:47:26]	Lee Maylor used command '/CharFallOver 0.1'.
[09:47:33]	Lee Maylor entered observer.
[09:47:33]	Lee Maylor exited observer at their location.
[09:47:36]	Lee Maylor used command '/CharFallOver 0.1'.
[09:47:42]	Lee Maylor used command '/CharFallOver 0.1'.
[09:47:45]	Lee Maylor used command '/CharFallOver 0.1'.
[09:47:50]	Lee Maylor used command '/CharFallOver 0.1'.
[09:47:53]	Lee Maylor used command '/CharFallOver 0.1'.
[09:47:55]	Lee Maylor used command '/CharFallOver 0.1'.
[09:47:58]	Lee Maylor used command '/CharFallOver 0.1'.
[09:48:01]	Lee Maylor used command '/CharFallOver 0.1'.
[09:48:05]	Lee Maylor used command '/CharFallOver 0.1'.
[09:48:08]	Lee Maylor used command '/CharFallOver 0.1'.
[09:48:11]	Lee Maylor used command '/CharFallOver 0.1'.
[09:48:13]	Lee Maylor used command '/CharFallOver 0.1'.
[09:48:17]	Lee Maylor used command '/CharFallOver 0.1'.
[09:48:21]	Lee Maylor used command '/CharFallOver 0.1'.
[09:48:25]	Lee Maylor used command '/CharFallOver 0.1'.
[09:48:28]	Lee Maylor used command '/CharFallOver 0.1'.
[09:48:32]	Lee Maylor used command '/CharFallOver 0.1'.
[09:48:44]	Lee Maylor used command '/CharFallOver 0.1'.
[09:48:48]	Lee Maylor used command '/CharFallOver 0.1'.
[09:48:52]	Lee Maylor used command '/CharFallOver 0.1'.
[09:48:56]	Lee Maylor used command '/CharFallOver 0.1'.
[09:49:00]	Lee Maylor used command '/CharFallOver 0.1'.
[09:49:04]	Lee Maylor used command '/CharFallOver 0.1'.
[09:49:51]	Lee Maylor used command '/CharFallOver 0.1'.
[09:49:55]	Lee Maylor used command '/CharFallOver 0.1'.
[09:52:06]	Lee Maylor entered observer.
[09:52:28]	Lee Maylor exited observer at their location.
[09:52:29]	Lee Maylor entered observer.
[09:52:29]	Lee Maylor exited observer at their location.
[09:52:30]	Lee Maylor entered observer.
[09:52:33]	Lee Maylor exited observer at their location.
[09:52:48]	Lee Maylor entered observer.
[09:53:23]	Lee Maylor exited observer at their location.
[09:53:23]	Lee Maylor entered observer.
[09:53:23]	Lee Maylor exited observer at their location.
[09:53:24]	Lee Maylor entered observer.
[09:53:24]	Lee Maylor exited observer at their location.
[09:53:24]	Lee Maylor entered observer.
[09:53:25]	Lee Maylor exited observer at their location.
[09:53:26]	Lee Maylor entered observer.
[09:53:26]	Lee Maylor exited observer at their location.
[09:53:26]	Lee Maylor entered observer.
[09:53:27]	Lee Maylor exited observer at their location.
[09:53:27]	Lee Maylor entered observer.
[09:54:29]	Lee Maylor exited observer at their location.
[09:54:30]	Lee Maylor entered observer.
[09:54:36]	Lee Maylor used command '/ToggleRaise'.
[09:54:40]	Lee Maylor exited observer at their location.
[09:54:52]	Lee Maylor entered observer.
[09:55:21]	Lee Maylor exited observer at their location.
[09:55:46]	Lee Maylor entered observer.
[09:55:46]	Lee Maylor exited observer at their location.
[09:55:54]	Lee Maylor entered observer.
[09:55:54]	Lee Maylor exited observer at their location.
[09:55:55]	Lee Maylor entered observer.
[09:55:55]	Lee Maylor exited observer at their location.
[09:55:57]	Lee Maylor entered observer.
[09:55:57]	Lee Maylor exited observer at their location.
[09:55:58]	Lee Maylor entered observer.
[09:56:00]	Lee Maylor exited observer at their location.
[09:56:09]	Lee Maylor entered observer.
[09:56:26]	Lee Maylor exited observer at their location.
[09:56:26]	Lee Maylor entered observer.
[09:56:26]	Lee Maylor exited observer at their location.
[09:56:27]	Lee Maylor entered observer.
[09:56:44]	Lee Maylor exited observer at their location.
[09:56:45]	Lee Maylor entered observer.
[09:56:45]	Lee Maylor exited observer at their location.
[09:56:46]	Lee Maylor entered observer.
[09:56:46]	Lee Maylor exited observer at their location.
[09:56:47]	Lee Maylor ran 'View' on item 'Paper' (#12540)
[09:56:54]	Lee Maylor ran 'View' on item 'Paper' (#12540)
[09:56:57]	Lee Maylor entered observer.
[09:58:09]	Lee Maylor exited observer at their location.
[09:58:22]	Lee Maylor entered observer.
[09:58:27]	Lee Maylor exited observer at their location.
[09:58:41]	Lee Maylor entered observer.
[09:58:48]	Lee Maylor exited observer at their location.
[09:59:06]	Lee Maylor entered observer.
[09:59:09]	Lee Maylor exited observer at their location.
[09:59:11]	Lee Maylor entered observer.
[09:59:12]	Lee Maylor exited observer at their location.
[09:59:12]	Lee Maylor entered observer.
[09:59:13]	Lee Maylor exited observer at their location.
[09:59:19]	Lee Maylor entered observer.
[09:59:21]	Lee Maylor exited observer at their location.
[09:59:21]	Lee Maylor entered observer.
[09:59:21]	Lee Maylor exited observer at their location.
[09:59:22]	Lee Maylor entered observer.
[09:59:22]	Lee Maylor exited observer at their location.
[09:59:23]	Lee Maylor entered observer.
[09:59:23]	Lee Maylor exited observer at their location.
[09:59:39]	Lee Maylor entered observer.
[09:59:42]	Lee Maylor exited observer at their location.
[09:59:42]	Lee Maylor opened the '' #1185 container.
[09:59:43]	Lee Maylor closed the '' #1185 container.
[09:59:44]	Lee Maylor ran 'View' on item 'Paper' (#11100)
[09:59:46]	Lee Maylor entered observer.
[10:01:37]	Lee Maylor exited observer at their location.
[10:01:37]	Lee Maylor opened the '' #1008 container.
[10:01:39]	Lee Maylor closed the '' #1008 container.
[10:01:46]	Lee Maylor used command '/ToggleRaise'.
[10:03:36]	Lee Maylor used command '/CharFallOver 0.1'.
[10:03:37]	Lee Maylor used command '/CharFallOver 0.1'.
[10:03:48]	Lee Maylor used command '/CharFallOver 0.1'.
[10:03:49]	Lee Maylor used command '/CharFallOver 0.1'.
[10:03:53]	Lee Maylor used command '/CharFallOver 0.1'.
[10:03:55]	Lee Maylor used command '/CharFallOver 0.1'.
[10:03:56]	Lee Maylor used command '/CharFallOver 0.1'.
[10:04:18]	Lee Maylor used command '/CharFallOver 0.1'.
[13:25:18]	Lee Maylor entered observer.
[13:25:19]	Lee Maylor exited observer at their location.
[13:25:20]	Lee Maylor used command '/ToggleRaise'.
[13:25:22]	Lee Maylor entered observer.
[13:25:24]	Lee Maylor destroyed a 'Reclaimed Metal' #12834.
[13:25:24]	Lee Maylor destroyed a 'Scrap Metal' #12832.
[13:25:24]	Lee Maylor destroyed a 'Charred Metal' #12824.
[13:25:24]	Lee Maylor destroyed a 'Charred Metal' #12807.
[13:25:24]	Lee Maylor destroyed a 'Charred Metal' #12825.
[13:25:31]	Lee Maylor used command '/ToggleRaise'.
[13:25:33]	Lee Maylor destroyed a 'Reclaimed Metal' #12833.
[13:25:33]	Lee Maylor destroyed a 'Scrap Metal' #12830.
[16:14:06]	Jorgen_Skog has connected.
[16:17:58]	Jorgen_Skog loaded the character 'PVT Jorgen Marventsky'
[16:20:34]	[OOC] PVT Jorgen Marventsky: E
[16:20:58]	PVT Jorgen Marventsky used command '/Radio PVT, Marventsky now On-Duty, Over.'.
[16:22:00]	Water has connected.
[16:22:15]	[OOC] PVT Jorgen Marventsky: Now I'm seeing a few people joining up more
[16:22:36]	Water (STEAM_0:0:168980916) has disconnected.
[16:24:17]	PVT Jorgen Marventsky opened the '' #1340 container.
[16:24:19]	PVT Jorgen Marventsky closed the '' #1340 container.
[16:26:22]	[OOC] PVT Jorgen Marventsky: You tabbed out, Lee
[16:27:49]	PVT Jorgen Marventsky ran 'take' on item 'UU Brand Chocolate' (#11949)
