[14:58:38]	matt saton has connected.
[15:00:37]	matt saton loaded the character 'Lee Maylor'
[15:00:39]	Lee Maylor entered observer.
[15:10:15]	Lee Maylor exited observer at their location.
[15:10:20]	Lee Maylor entered observer.
[15:10:21]	Lee Maylor has spawned 'models/headcrabclassic.mdl'.
[15:10:22]	Lee Maylor exited observer at their location.
[15:10:28]	Lee Maylor has gained a 'Combat Knife' #10268.
[15:10:28]	Lee Maylor used command '/CharGiveItem lee knife'.
[15:10:47]	Lee Maylor has gained a 'Raw Headcrab Meat' #10269.
[15:11:13]	Lee Maylor has spawned 'models/headcrabclassic.mdl'.
[15:11:45]	Lee Maylor entered observer.
[15:12:07]	matt saton created the character 'Citizen Testington'
[15:12:07]	Citizen Testington has gained a 'Suitcase' #10270.
[15:12:07]	Citizen Testington has gained a 'Relocation Coupon' #10271.
[15:12:07]	Citizen Testington has gained a 'Cyclopic Citizen Suit' #10272.
[15:12:07]	Citizen Testington has gained a 'Citizen Filter' #10273.
[15:12:12]	matt saton loaded the character 'Citizen Testington'
[15:12:12]	Citizen Testington entered observer.
[15:12:23]	Citizen Testington exited observer at their location.
[15:12:23]	Citizen Testington has taken 1 damage from worldspawn.
[15:12:24]	Citizen Testington has taken 1 damage from worldspawn.
[15:12:24]	Citizen Testington entered observer.
[15:12:27]	Citizen Testington ran 'Equip' on item 'Cyclopic Citizen Suit' (#10272)
[15:12:27]	Citizen Testington ran 'equip' on item 'Citizen Filter' (#10273)
[15:12:30]	Citizen Testington exited observer at their location.
[15:31:20]	Citizen Testington entered observer.
[15:31:30]	matt saton (STEAM_0:1:53097688) has disconnected.
