[00:03:59]	[ME] James Albright: wraps the twine around the furniture and to the cart, make sure to knot it tight.
[00:04:02]	[LOOC] Saul Zolnerkevich: gay
[00:04:08]	Morgan Beck ran 'Drink' on item 'Flavored Breen's Water' (#15051)
[00:04:14]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[00:04:25]	James Albright has taken 5 damage from prop_physics.
[00:04:25]	CCA.C08-UNION.i3.98240 [X] used command '/Radio UNit 98240 reporting, PT beta disbanded, 10-50 over'.
[00:04:59]	James Albright has taken 10 damage from prop_physics.
[00:04:59]	James Albright has taken 5 damage from prop_physics.
[00:05:09]	CCA.C08-UNION.i3.98240 [X] used command '/ActStand'.
[00:05:12]	CCA.C08-UNION.i5.19267 used command '/Radio 192, Not going on a 10-50 but just gonna walk around... Okay maybe it is a 10-50.'.
[00:05:22]	James Albright entered observer.
[00:05:27]	CCA.C08-UNION.i3.98240 [X] used command '/Radio Stay in D3/2'.
[00:05:42]	James Albright exited observer at their location.
[00:05:42]	James Albright entered observer.
[00:05:43]	James Albright exited observer at their location.
[00:05:47]	CCA.C08-JUDGE.i1.91412 used command '/Radio UNION.'.
[00:05:49]	[Y] Morgan Beck: Welcome!
[00:05:56]	CCA.C08-UNION.i3.98240 [X] used command '/Radio Copy'.
[00:05:56]	CCA.C08-JUDGE.i1.91412 used command '/Radio Regroup at Mixed-Tier.'.
[00:06:06]	CCA.C08-UNION.i3.98240 [X] used command '/Radio Moving to you're 10-20'.
[00:06:15]	James Albright entered observer.
[00:06:15]	James Albright exited observer at their location.
[00:06:23]	[Y] Morgan Beck: Our menu is up above our counter. So if you feeling hungry, come and take a look.
[00:06:33]	[LOOC] Tyler Krejewski: fucking brazilian keyboard one sec
[00:07:19]	[ME] Morgan Beck: leans on the counter quietly.
[00:07:38]	Saul Zolnerkevich ran 'View' on item 'Notepad' (#12572)
[00:07:41]	CCA.C08-JUDGE.i1.91412 used command '/Radio UNION i5, do you copy?'.
[00:07:42]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[00:07:55]	Morgan Beck entered observer.
[00:08:45]	CCA.C08-UNION.i5.19267 has gained 10 tokens.
[00:08:46]	James Albright has taken 5 damage from prop_physics.
[00:08:46]	CCA.C08-UNION.i3.98240 [X] used command '/Radio 192, What is you're 10-20 and status?'.
[00:08:54]	CCA.C08-UNION.i5.19267 used command '/Radio I do not copy (Void. Im going afk rn sorry.)'.
[00:09:07]	CCA.C08-UNION.i3.98240 [X] used command '/Radio // Flag off'.
[00:09:12]	Morgan Beck exited observer at their location.
[00:09:14]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[00:09:17]	Dr. Walter Bennett loaded the character 'Walter H. Bennett'
[00:09:19]	James Albright entered observer.
[00:09:19]	James Albright exited observer at their location.
[00:09:19]	James Albright entered observer.
[00:09:20]	James Albright exited observer at their location.
[00:09:20]	CCA.C08-UNION.i3.98240 [X] used command '/Radio // Before you go AFK or go into the Nexus'.
[00:09:37]	Morgan Beck entered observer.
[00:09:42]	Morgan Beck exited observer at their location.
[00:10:04]	James Albright has spawned 'models/props_junk/wood_crate001a.mdl'.
[00:10:29]	James Albright has spawned 'models/props_junk/wood_pallet001a.mdl'.
[00:10:29]	James Albright has spawned 'models/props_junk/wood_crate002a.mdl'.
[00:10:31]	James Albright has spawned 'models/props_trainstation/pole_448Connection002b.mdl'.
[00:10:32]	James Albright has spawned 'models/props_junk/wood_crate002a.mdl'.
[00:10:39]	James Albright entered observer.
[00:10:39]	James Albright exited observer at their location.
[00:10:53]	CCA.C08-JUDGE.i1.91412 used command '/Radio Dispatch, Squad Alpha moving for 10-50.'.
[00:11:10]	James Albright has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[00:11:15]	James Albright entered observer.
[00:11:19]	James Albright has spawned 'models/props_junk/wood_crate001a.mdl'.
[00:11:33]	James Albright exited observer at their location.
[00:11:40]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Uh?
[00:11:41]	Morgan Beck entered observer.
[00:11:43]	Morgan Beck exited observer at their location.
[00:11:52]	Morgan Beck entered observer.
[00:11:52]	Morgan Beck exited observer at their location.
[00:11:53]	Morgan Beck entered observer.
[00:11:55]	Morgan Beck exited observer at their location.
[00:12:04]	Morgan Beck entered observer.
[00:12:10]	Morgan Beck exited observer at their location.
[00:12:11]	Morgan Beck entered observer.
[00:12:12]	Morgan Beck exited observer at their location.
[00:12:21]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Missclick
[00:12:40]	James Albright has taken 10 damage from prop_physics.
[00:12:40]	James Albright has taken 10 damage from prop_physics.
[00:12:40]	prop_physics has killed James Albright.
[00:12:42]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[00:12:46]	[OOC] James Albright: when your furniture propkills you
[00:12:46]	James Albright entered observer.
[00:12:54]	James Jacob exited observer at their location.
[00:12:55]	James Jacob entered observer.
[00:12:55]	James Jacob exited observer at their location.
[00:12:56]	James Jacob entered observer.
[00:13:00]	James Albright exited observer at their location.
[00:13:00]	James Albright entered observer.
[00:13:00]	James Albright exited observer at their location.
[00:13:02]	James Jacob exited observer at their location.
[00:13:04]	James Jacob entered observer.
[00:13:05]	James Jacob exited observer at their location.
[00:13:06]	James Jacob entered observer.
[00:13:11]	James Jacob ran 'View' on item 'Notepad' (#7274)
[00:13:22]	[ME] Tyler Krejewski: gives off a muffled giggle. "Same old shit."
[00:13:27]	James Jacob exited observer at their location.
[00:14:03]	[Y] Morgan Beck: See ya. Come again.
[00:14:14]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[00:14:43]	Morgan Beck entered observer.
[00:15:17]	Saul Zolnerkevich opened the '' #1286 container.
[00:15:17]	Saul Zolnerkevich closed the '' #1286 container.
[00:15:18]	Tyler Krejewski opened the '' #1286 container.
[00:15:19]	Saul Zolnerkevich opened the '' #1286 container.
[00:15:21]	Saul Zolnerkevich opened the '' #1286 container.
[00:15:22]	Saul Zolnerkevich opened the '' #1286 container.
[00:15:23]	Saul Zolnerkevich opened the '' #1286 container.
[00:15:23]	Tyler Krejewski closed the '' #1286 container.
[00:16:16]	James Albright entered observer.
[00:16:20]	Tyler Krejewski has taken 6 damage from worldspawn.
[00:16:21]	Tyler Krejewski has taken 6 damage from worldspawn.
[00:16:33]	Saul Zolnerkevich has taken 6 damage from worldspawn.
[00:16:38]	James Albright exited observer at their location.
[00:16:52]	James Albright used command '/ToggleRaise'.
[00:17:03]	James Jacob entered observer.
[00:17:06]	CCA.C08-JUDGE.i1.91412 used command '/Radio Dispatch, Squad Alpha completing 10-50. Returning 10-20 Factory.'.
[00:17:13]	James Jacob exited observer at their location.
[00:17:42]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[00:17:54]	[OOC] James Albright: delivering furniture is easily
[00:17:58]	[OOC] James Albright: the most relaxingthing i have done
[00:18:00]	[OOC] James Albright: in WEEKS
[00:18:07]	[ME] Saul Zolnerkevich: Waves "Hello"
[00:18:07]	James Albright has taken 20 damage from ix_container.
[00:18:11]	James Albright has taken 10 damage from ix_container.
[00:18:11]	James Albright has taken 5 damage from ix_container.
[00:18:12]	James Albright has taken 100 damage from prop_physics.
[00:18:12]	prop_physics has killed James Albright.
[00:18:12]	James Albright entered observer.
[00:18:17]	[OOC] James Albright: this is damn therapeutic
[00:18:17]	James Albright entered observer.
[00:18:21]	[OOC] CCA.C08-JUDGE.i1.91412: try putting metal in a bin, alone with an overly competent UNION
[00:18:29]	James Albright exited observer at their location.
[00:18:38]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Sorry
[00:18:43]	[OOC] James Albright: promotion to Super Sectorial time
[00:18:46]	[OOC] James Albright: promotion to advisor time
[00:18:50]	CCA.C08-JUDGE.i1.91412 ran 'take' on item 'Blacksmith Tongs' (#9172)
[00:18:50]	CCA.C08-JUDGE.i1.91412 has gained a 'Blacksmith Tongs' #9172.
[00:18:51]	James Albright has taken 5 damage from prop_physics.
[00:18:52]	James Albright has taken 10 damage from ix_container.
[00:18:52]	James Albright has taken 5 damage from prop_physics.
[00:18:52]	James Albright has taken 5 damage from prop_physics.
[00:18:54]	[OOC] James Jacob: uhh huh
[00:19:07]	[OOC] CCA.C08-JUDGE.i1.91412: advisor 2: electric boogaloo
[00:19:12]	[OOC] CCA.C08-UNION.i3.98240 [X]: The word Overly might be a bit much
[00:19:14]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[00:19:15]	[OOC] James Jacob: Bruh
[00:19:17]	[ME] Saul Zolnerkevich: leans back heavily
[00:19:29]	CCA.C08-JUDGE.i1.91412 opened the '' #885 container.
[00:19:34]	CCA.C08-JUDGE.i1.91412 closed the '' #885 container.
[00:19:34]	[ME] Tyler Krejewski: crosses his arms as he raises an eyebrow, his friendly expression turning into an an angry one "Really, fucker? he states in an angry tone.
[00:19:35]	CCA.C08-JUDGE.i1.91412 opened the '' #886 container.
