[09:19:25]	matt saton has connected.
[09:20:02]	matt saton loaded the character 'CCA.C17-UNION.i1.51023'
[09:20:11]	CCA.C17-UNION.i1.51023 entered observer.
[09:20:12]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:20:14]	CCA.C17-UNION.i1.51023 entered observer.
[09:20:16]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:20:17]	CCA.C17-UNION.i1.51023 entered observer.
[09:20:19]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:20:19]	CCA.C17-UNION.i1.51023 entered observer.
[09:20:36]	CCA.C17-UNION.i1.51023 used command '/ToggleRaise'.
[09:20:47]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:20:55]	CCA.C17-UNION.i1.51023 entered observer.
[09:20:55]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:20:56]	CCA.C17-UNION.i1.51023 entered observer.
[09:22:17]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:22:29]	CCA.C17-UNION.i1.51023 entered observer.
[09:22:29]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:22:29]	CCA.C17-UNION.i1.51023 entered observer.
[09:22:30]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:22:34]	CCA.C17-UNION.i1.51023 entered observer.
[09:23:07]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:23:11]	CCA.C17-UNION.i1.51023 entered observer.
[09:23:13]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:23:30]	CCA.C17-UNION.i1.51023 entered observer.
[09:23:30]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:23:32]	CCA.C17-UNION.i1.51023 has taken 53 damage from worldspawn.
[09:23:32]	worldspawn has killed CCA.C17-UNION.i1.51023.
[09:23:32]	CCA.C17-UNION.i1.51023 entered observer.
[09:23:57]	CCA.C17-UNION.i1.51023 entered observer.
[09:23:58]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:23:59]	CCA.C17-UNION.i1.51023 entered observer.
[09:24:09]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:24:20]	CCA.C17-UNION.i1.51023 has spawned a 'Entity [383][ix_forcefield]'.
[09:24:22]	CCA.C17-UNION.i1.51023 has spawned a 'Entity [383][ix_forcefield]'.
[09:24:23]	CCA.C17-UNION.i1.51023 has spawned a 'Entity [416][ix_forcefield]'.
[09:24:25]	CCA.C17-UNION.i1.51023 has spawned a 'Entity [383][ix_forcefield]'.
[09:24:26]	CCA.C17-UNION.i1.51023 has spawned a 'Entity [416][ix_forcefield]'.
[09:24:28]	CCA.C17-UNION.i1.51023 has spawned a 'Entity [383][ix_forcefield]'.
[09:24:30]	CCA.C17-UNION.i1.51023 has spawned a 'Entity [416][ix_forcefield]'.
[09:24:30]	CCA.C17-UNION.i1.51023 has spawned a 'Entity [436][ix_forcefield]'.
[09:24:49]	CCA.C17-UNION.i1.51023 entered observer.
[09:24:52]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:25:02]	CCA.C17-UNION.i1.51023 has gained 10 tokens.
[09:25:31]	CCA.C17-UNION.i1.51023 entered observer.
[09:25:32]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:25:32]	CCA.C17-UNION.i1.51023 entered observer.
[09:25:39]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:25:41]	CCA.C17-UNION.i1.51023 entered observer.
[09:25:43]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:25:50]	CCA.C17-UNION.i1.51023 has removed map entity #3507 (models/props_junk/wood_crate001a.mdl).
[09:25:50]	CCA.C17-UNION.i1.51023 used command '/MapEntRemove'.
[09:25:54]	CCA.C17-UNION.i1.51023 has spawned 'models/props_junk/wood_crate001a.mdl'.
[09:25:58]	CCA.C17-UNION.i1.51023 entered observer.
[09:26:22]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:26:33]	CCA.C17-UNION.i1.51023 entered observer.
[09:26:34]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:26:34]	CCA.C17-UNION.i1.51023 entered observer.
[09:26:34]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:26:35]	CCA.C17-UNION.i1.51023 entered observer.
[09:26:35]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:26:38]	CCA.C17-UNION.i1.51023 entered observer.
[09:26:39]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:26:40]	CCA.C17-UNION.i1.51023 entered observer.
[09:26:43]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:26:43]	CCA.C17-UNION.i1.51023 entered observer.
[09:26:46]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:26:46]	CCA.C17-UNION.i1.51023 entered observer.
[09:26:48]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:26:49]	CCA.C17-UNION.i1.51023 has taken 4 damage from worldspawn.
[09:27:01]	CCA.C17-UNION.i1.51023 entered observer.
[09:27:03]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:27:04]	CCA.C17-UNION.i1.51023 entered observer.
[09:27:06]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:27:07]	CCA.C17-UNION.i1.51023 entered observer.
[09:27:17]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:27:17]	CCA.C17-UNION.i1.51023 entered observer.
[09:27:45]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:27:46]	CCA.C17-UNION.i1.51023 entered observer.
[09:27:46]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:27:48]	CCA.C17-UNION.i1.51023 entered observer.
[09:28:00]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:28:04]	CCA.C17-UNION.i1.51023 entered observer.
[09:28:05]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:28:07]	CCA.C17-UNION.i1.51023 entered observer.
[09:28:07]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:28:11]	CCA.C17-UNION.i1.51023 entered observer.
[09:28:21]	CCA.C17-UNION.i1.51023 has spawned 'models/props_interiors/ElevatorShaft_Door01a.mdl'.
[09:28:23]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:28:23]	CCA.C17-UNION.i1.51023 has spawned 'models/props_c17/gate_door01a.mdl'.
[09:28:25]	CCA.C17-UNION.i1.51023 has spawned 'models/props_c17/gate_door02a.mdl'.
[09:28:43]	CCA.C17-UNION.i1.51023 entered observer.
[09:29:09]	CCA.C17-UNION.i1.51023 has spawned 'models/props_c17/gate_door02a.mdl'.
[09:29:13]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:29:23]	CCA.C17-UNION.i1.51023 entered observer.
[09:29:27]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:29:31]	CCA.C17-UNION.i1.51023 entered observer.
[09:29:35]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:29:35]	CCA.C17-UNION.i1.51023 entered observer.
[09:29:49]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:02]	CCA.C17-UNION.i1.51023 has gained 10 tokens.
[09:30:04]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:04]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:05]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:06]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:08]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:09]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:11]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:11]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:12]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:15]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:15]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:16]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:17]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:17]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:19]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:19]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:20]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:21]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:22]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:23]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:24]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:25]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:26]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:26]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:27]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:28]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:29]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:29]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:30]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:30]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:31]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:32]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:33]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:33]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:35]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:35]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:36]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:36]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:37]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:37]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:38]	CCA.C17-UNION.i1.51023 entered observer.
[09:30:38]	CCA.C17-UNION.i1.51023 exited observer at their location.
[09:30:54]	CCA.C17-UNION.i1.51023 has spawned 'models/props_trainstation/Column_Arch001a.mdl'.
[09:30:55]	CCA.C17-UNION.i1.51023 has spawned 'models/props_junk/wood_pallet001a.mdl'.
[09:31:01]	CCA.C17-UNION.i1.51023 has spawned 'models/props_interiors/ElevatorShaft_Door01a.mdl'.
[09:31:19]	CCA.C17-UNION.i1.51023 used command '/ToggleRaise'.
[09:31:31]	CCA.C17-UNION.i1.51023 has spawned 'models/props_canal/canal_bridge03a.mdl'.
[09:31:34]	CCA.C17-UNION.i1.51023 has spawned 'models/props_canal/canal_bridge01.mdl'.
[09:31:36]	CCA.C17-UNION.i1.51023 has spawned 'models/props_canal/canal_bridge03a.mdl'.
[09:31:38]	CCA.C17-UNION.i1.51023 has spawned 'models/props_c17/metalladder002.mdl'.
[09:31:41]	CCA.C17-UNION.i1.51023 has spawned 'models/props_c17/fence02a.mdl'.
[09:31:44]	CCA.C17-UNION.i1.51023 has spawned 'models/props_c17/signpole001.mdl'.
[09:31:51]	CCA.C17-UNION.i1.51023 has spawned 'models/props_c17/signpole001.mdl'.
[09:31:53]	CCA.C17-UNION.i1.51023 has spawned 'models/props_c17/signpole001.mdl'.
