[12:57:49]	RaysurZ has connected.
[13:00:24]	RaysurZ created the character 'hehe male ooo susen'
[13:00:24]	hehe male ooo susen has gained a 'Suitcase' #21189.
[13:00:24]	hehe male ooo susen has gained a 'Relocation Coupon' #21190.
[13:00:24]	hehe male ooo susen has gained a 'Green Citizen Suit' #21191.
[13:00:24]	hehe male ooo susen has gained a 'Citizen Filter' #21192.
[13:00:24]	RaysurZ loaded the character 'hehe male ooo susen'
[13:03:08]	RaysurZ (STEAM_0:0:984884) has disconnected.
[19:13:13]	OsoPonderoso has connected.
[19:18:13]	OsoPonderoso (STEAM_0:0:606496709) has disconnected.
