[19:30:19]	matt saton has connected.
[19:32:19]	matt saton loaded the character 'Ryan Marnett'
[19:32:21]	Ryan Marnett entered observer.
[19:32:28]	Ryan Marnett exited observer at their location.
[19:32:29]	Ryan Marnett entered observer.
[19:32:30]	Ryan Marnett exited observer at their location.
[19:32:31]	Ryan Marnett entered observer.
[19:36:43]	Ryan Marnett exited observer at their location.
[19:36:44]	Ryan Marnett entered observer.
[19:36:48]	Ryan Marnett exited observer at their location.
[19:36:50]	Ryan Marnett has taken 25 damage from worldspawn.
[19:36:56]	Ryan Marnett entered observer.
[19:36:57]	Ryan Marnett exited observer at their location.
[19:36:58]	Ryan Marnett entered observer.
[19:37:21]	matt saton (STEAM_0:1:53097688) has disconnected.
