[16:32:09]	matt saton has connected.
[16:33:23]	matt saton loaded the character 'Lee Maylor'
[16:33:23]	Lee Maylor has taken 1 damage from worldspawn.
[16:33:23]	Lee Maylor has taken 1 damage from worldspawn.
[16:33:24]	Lee Maylor has taken 1 damage from worldspawn.
[16:33:25]	Lee Maylor has taken 1 damage from worldspawn.
[16:33:25]	Lee Maylor entered observer.
[16:33:29]	Lee Maylor exited observer at their location.
[16:33:29]	Lee Maylor has taken 1 damage from worldspawn.
[16:33:30]	Lee Maylor has taken 1 damage from worldspawn.
[16:33:30]	Lee Maylor entered observer.
[16:33:31]	Lee Maylor exited observer at their location.
[16:33:31]	Lee Maylor has taken 1 damage from worldspawn.
[16:33:32]	Lee Maylor has taken 1 damage from worldspawn.
[16:33:32]	Lee Maylor entered observer.
[16:33:34]	Lee Maylor exited observer at their location.
[16:33:34]	Lee Maylor has taken 1 damage from worldspawn.
[16:33:35]	Lee Maylor has taken 1 damage from worldspawn.
[16:33:35]	Lee Maylor has taken 1 damage from worldspawn.
[16:33:36]	Lee Maylor has taken 1 damage from worldspawn.
[16:33:37]	Lee Maylor entered observer.
[16:33:40]	Lee Maylor has spawned a 'Entity [618][ix_airvent]'.
[16:33:46]	Lee Maylor has spawned a 'Entity [621][ix_airvent]'.
[16:34:49]	Lee Maylor exited observer at their location.
[16:34:57]	Lee Maylor has taken 1 damage from worldspawn.
[16:34:58]	Lee Maylor entered observer.
[16:34:59]	Lee Maylor exited observer at their location.
[16:35:01]	Lee Maylor has taken 1 damage from worldspawn.
[16:35:02]	Lee Maylor has taken 1 damage from worldspawn.
[16:35:02]	Lee Maylor has taken 1 damage from worldspawn.
[16:35:03]	Lee Maylor has taken 1 damage from worldspawn.
[16:35:08]	Lee Maylor has taken 1 damage from worldspawn.
[16:35:10]	Lee Maylor has taken 1 damage from worldspawn.
[16:35:11]	Lee Maylor has taken 1 damage from worldspawn.
[16:35:12]	Lee Maylor has taken 1 damage from worldspawn.
[16:35:12]	Lee Maylor has taken 1 damage from worldspawn.
[16:35:13]	Lee Maylor has taken 1 damage from worldspawn.
[16:35:15]	Lee Maylor entered observer.
[16:35:45]	Lee Maylor has spawned a 'Entity [620][ix_testent9]'.
[16:35:46]	Lee Maylor has spawned a 'Entity [621][ix_airvent]'.
[16:35:58]	Lee Maylor has spawned a 'Entity [620][ix_airvent]'.
[16:36:08]	Lee Maylor exited observer at their location.
[16:36:08]	Lee Maylor entered observer.
[16:36:08]	Lee Maylor exited observer at their location.
[16:36:14]	Lee Maylor has taken 1 damage from worldspawn.
[16:36:14]	Lee Maylor has taken 1 damage from worldspawn.
[16:36:15]	Lee Maylor has taken 1 damage from worldspawn.
[16:36:16]	Lee Maylor has taken 1 damage from worldspawn.
[16:36:17]	Lee Maylor has taken 1 damage from worldspawn.
[16:36:17]	Lee Maylor has taken 1 damage from worldspawn.
[16:36:18]	Lee Maylor has taken 1 damage from worldspawn.
[16:36:19]	Lee Maylor has taken 1 damage from worldspawn.
[16:36:20]	Lee Maylor has taken 1 damage from worldspawn.
[16:36:20]	Lee Maylor has taken 1 damage from worldspawn.
[16:36:21]	Lee Maylor has taken 1 damage from worldspawn.
[16:36:22]	Lee Maylor has taken 1 damage from worldspawn.
[16:36:23]	Lee Maylor has taken 1 damage from worldspawn.
[16:36:24]	Lee Maylor has taken 1 damage from worldspawn.
[16:36:24]	Lee Maylor has taken 1 damage from worldspawn.
