[17:26:47]	matt saton has connected.
[17:28:35]	matt saton loaded the character 'Lee Maylor'
[17:28:44]	Lee Maylor entered observer.
[17:45:48]	BopBop has connected.
[17:47:15]	BopBop loaded the character 'John Hare'
[17:47:29]	[OOC] John Hare: I am john hare owner of AIR
[17:47:38]	[OOC] John Hare: best beware
[17:47:47]	[OOC] Lee Maylor: physical pain
[17:47:51]	[OOC] Lee Maylor: true physical pain
[17:48:03]	matt saton loaded the character 'CCA.C08-UNION.i1.51023'
[17:48:05]	CCA.C08-UNION.i1.51023 entered observer.
[17:48:13]	CCA.C08-UNION.i1.51023 exited observer at their location.
[17:49:13]	matt saton loaded the character 'Lee Maylor'
[17:49:14]	[OOC] Lee Maylor: brb
[17:49:14]	Lee Maylor entered observer.
[17:49:56]	John Hare opened the '' #1078 container.
[17:49:58]	John Hare closed the '' #1078 container.
[17:50:03]	John Hare opened the '' #1079 container.
[17:50:06]	John Hare closed the '' #1079 container.
[17:50:14]	John Hare ran 'View' on item 'Paper' (#11196)
[17:50:57]	[OOC] John Hare: I'm john hare, and I sell the Air! we serve with care and if you steal you best beware!
[17:52:29]	BopBop loaded the character 'Thornderrek Berry'
[17:53:48]	Thornderrek Berry opened the '' #1041 container.
[17:53:50]	Thornderrek Berry closed the '' #1041 container.
[17:53:58]	Thornderrek Berry used the 'Street Market' vendor.
[17:54:01]	Thornderrek Berry has lost 3 tokens.
[17:54:01]	Thornderrek Berry has gained a 'Citizen Filter' #12539.
[17:54:05]	Thornderrek Berry used the 'Street Market' vendor.
[17:54:11]	Thornderrek Berry has lost 2 tokens.
[17:54:11]	Thornderrek Berry has gained a 'Paper' #12540.
[17:54:20]	Thornderrek Berry ran 'Edit' on item 'Paper' (#12540)
[17:55:21]	Thornderrek Berry ran 'drop' on item 'Paper' (#12540)
[17:55:21]	Thornderrek Berry has lost a 'Paper' #12540.
[17:56:04]	BopBop loaded the character 'Dave Keeger'
[17:56:36]	Dave Keeger used the 'Shady Salesman' vendor.
[17:56:37]	Dave Keeger used the 'Shady Salesman' vendor.
[17:56:37]	Dave Keeger used the 'Shady Salesman' vendor.
[17:56:38]	Dave Keeger used the 'Shady Salesman' vendor.
[17:56:38]	Dave Keeger used the 'Shady Salesman' vendor.
[17:57:26]	Dave Keeger ran 'View' on item 'Paper' (#12540)
[17:58:17]	FB|| light ROOM has connected.
[17:58:54]	FB|| light ROOM loaded the character 'CCA.C08-QrM.98240'
[17:59:10]	[OOC] CCA.C08-QrM.98240: I love it when gmod decides to not work.
[17:59:13]	[OOC] CCA.C08-QrM.98240: rejoining
[17:59:18]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[17:59:56]	Dave Keeger ran 'take' on item 'Resin' (#10761)
[17:59:56]	Dave Keeger has gained a 'Resin' #10761.
[18:00:58]	Dave Keeger ran 'take' on item 'Suitcase' (#12531)
[18:00:58]	Dave Keeger has gained a 'Suitcase' #12531.
[18:01:02]	Dave Keeger ran 'take' on item 'Green Citizen Suit' (#12533)
[18:01:02]	Dave Keeger has gained a 'Green Citizen Suit' #12533.
[18:01:07]	Dave Keeger ran 'View' on item 'Paper' (#11097)
[18:02:02]	Dave Keeger has taken 250 damage from trigger_hurt.
[18:02:02]	trigger_hurt has killed Dave Keeger.
[18:02:06]	[OOC] Dave Keeger: fuck
[18:02:41]	Dave Keeger has taken 5 damage from Dave Keeger.
[18:02:41]	Dave Keeger has gained 10 tokens.
[18:03:06]	Dave Keeger ran 'take' on item 'Suitcase' (#12521)
[18:03:06]	Dave Keeger has gained a 'Suitcase' #12521.
[18:03:14]	FB|| light ROOM has connected.
[18:03:33]	[OOC] Dave Keeger: I am finding so many suitcases for some reason
[18:03:40]	Dave Keeger ran 'take' on item 'Green Citizen Suit' (#12530)
[18:03:40]	Dave Keeger has gained a 'Green Citizen Suit' #12530.
[18:03:44]	FB|| light ROOM loaded the character 'Ethan King'
[18:03:50]	[OOC] Ethan King: FUCKING GOD DAMNIT
[18:03:56]	[OOC] Ethan King: REJOINING AGAIN
[18:03:58]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[18:04:05]	[OOC] Dave Keeger: f
[18:04:14]	BopBop loaded the character 'Thornderrek Berry'
[18:04:51]	Thornderrek Berry has taken 5 damage from npc_headcrab.
[18:04:56]	Thornderrek Berry has taken 5 damage from npc_headcrab_fast.
[18:04:57]	Thornderrek Berry has taken 2 damage from worldspawn.
[18:05:17]	Thornderrek Berry has taken 5 damage from npc_headcrab.
[18:05:18]	Thornderrek Berry has taken 5 damage from npc_headcrab.
[18:06:11]	Thornderrek Berry opened the '' #1058 container.
[18:06:15]	Thornderrek Berry closed the '' #1058 container.
[18:06:17]	Thornderrek Berry opened the '' #1107 container.
[18:06:24]	Thornderrek Berry closed the '' #1107 container.
[18:06:40]	Thornderrek Berry opened the '' #1058 container.
[18:06:42]	Thornderrek Berry has gained a 'UU Brand Chips' #11354.
[18:06:43]	Thornderrek Berry closed the '' #1058 container.
[18:06:45]	Thornderrek Berry ran 'Consume' on item 'UU Brand Chips' (#11354)
[18:06:48]	Thornderrek Berry opened the '' #1107 container.
[18:06:58]	Thornderrek Berry has gained a 'Power Supply Unit' #841.
[18:07:02]	Thornderrek Berry closed the '' #1107 container.
[18:07:08]	BopBop loaded the character 'Sammy'
[18:07:24]	[OOC] Sammy: caw caw mothafucka
[18:07:35]	Sammy ran 'take' on item 'Cyclopic Citizen Suit' (#12527)
[18:07:35]	Sammy has gained a 'Cyclopic Citizen Suit' #12527.
[18:07:37]	Sammy ran 'drop' on item 'Cyclopic Citizen Suit' (#12527)
[18:07:37]	Sammy has lost a 'Cyclopic Citizen Suit' #12527.
[18:07:41]	Sammy ran 'take' on item 'Cyclopic Citizen Suit' (#12527)
[18:07:41]	Sammy has gained a 'Cyclopic Citizen Suit' #12527.
[18:08:26]	Sammy ran 'drop' on item 'Cyclopic Citizen Suit' (#12527)
[18:08:26]	Sammy has lost a 'Cyclopic Citizen Suit' #12527.
[18:08:29]	[OOC] Sammy: brb
[18:26:34]	Sammy ran 'take' on item 'Cyclopic Citizen Suit' (#12527)
[18:26:34]	Sammy has gained a 'Cyclopic Citizen Suit' #12527.
[18:30:36]	FB|| light ROOM has connected.
[18:31:08]	FB|| light ROOM loaded the character 'Ethan King'
[18:31:12]	[OOC] Ethan King: Y E S
[18:31:17]	[OOC] Ethan King: I have fixed Gmod.
[18:31:19]	[OOC] Ethan King: Pog
[18:31:23]	[OOC] Sammy: nice
[18:31:31]	[OOC] Ethan King: Now I am no longer suffering.
[18:31:57]	BopBop loaded the character 'Thornderrek Berry'
[18:32:02]	[OOC] Ethan King: So whats going on?
[18:32:09]	[OOC] Thornderrek Berry: stuff
[18:32:12]	[OOC] Ethan King: I see
